STOP_ON_FIRST_ERROR;false;;
VALUES;MP422;E473a - oligoesters de saccharose de type i et de type ii, émulsifiant, stabilisant;100
VALUES;MP423;E474 - sucroglycerides;100
VALUES;MP424;E475 - esters polyglyceriques d'acides gras;100
VALUES;MP425;E476 - esters polyglyceriques d'acides gras d'huile de ricin, polyricinoleate de polyglycerol;100
VALUES;MP426;E477 - esters du propylene-glycol d'acide gras;100
VALUES;MP427;E478 - esters lactyles d'acides gras du glycerol et du propane-1,2 diol;100
VALUES;MP428;E479b - huile de soja oxydée par chauffage ayant réagi avec des mono- et diglycerides d'acides gras, émulsifiant;100
VALUES;MP429;E481 - stearoyl-2-lactylate de sodium;100
VALUES;MP430;E481(i) - stearyl de sodium lactyle, émulsifiant, stabilisant;100
VALUES;MP431;E481(ii) - oleyl de sodium lactyle, émulsifiant, stabilisant;100
VALUES;MP432;E482 - stearoyl-2-lactylate de calcium;100
VALUES;MP433;E482(i) - stearyl de calcium lactyle, émulsifiant;100
VALUES;MP434;E482(ii) - oleyl de calcium lactyle, émulsifiant, stabilisant;100
VALUES;MP435;E483 - tartrate de stéaryle;100
VALUES;MP436;E484 - citrate de stéaryle;100
VALUES;MP437;E485 - renomme comme 441;100
VALUES;MP438;E486 - stearoylfumarate de calcium, émulsifiant;100
VALUES;MP439;E487 - laurylsulfate de sodium, émulsifiant;100
VALUES;MP440;E488 - mono- et di-glycerides ethoxyles, émulsifiant;100
VALUES;MP441;E489 - ester de methylglycoside d'huile de coco, émulsifiant;100
VALUES;MP442;E490 - glycole de propylène, solvant;100
VALUES;MP443;E491 - monostearate de sorbitane;100
VALUES;MP444;E492 - tristearate de sorbitane;100
VALUES;MP445;E493 - monolaurate de sorbitane;100
VALUES;MP446;E494 - monoleate de sorbitane;100
VALUES;MP447;E495 - monopalmitate de sorbitane;100
VALUES;MP448;E496 - trioleate de sorbitane, stabilisant, émulsifiant;100
VALUES;MP449;E500 - carbonates de sodium;100
VALUES;MP450;E500(i) - carbonate de sodium;100
VALUES;MP451;E500(ii) - carbonate acide de sodium (bicarbonate de sodium / bicarbonate de soude);100
VALUES;MP452;E500(iii) - sesquicarbonate de sodium, régulateur de l'acidité, agent levant, antiagglomérant;100
VALUES;MP453;E501 - carbonates de potassium;100
VALUES;MP454;E501(i) - carbonate de potassium;100
VALUES;MP455;E501(ii) - carbonate acide de potassium (bicarbonate de potassium);100
VALUES;MP456;E502 - carbonates;100
VALUES;MP457;E503 - carbonates d'ammonium;100
VALUES;MP458;E503(i) - carbonate d'ammonium;100
VALUES;MP459;E503(ii) - carbonate acide d'ammonium (bicarbonate d'ammonium);100
VALUES;MP460;E504 - carbonates de magnésium;100
VALUES;MP461;E504(i) - carbonate de magnésium;100
VALUES;MP462;E504(ii) - carbonate acide de magnésium (bicarbonate de magnésium);100
VALUES;MP463;E505 - carbonate de fer;100
VALUES;MP464;E507 - acide chlorhydrique;100
VALUES;MP465;E508 - chlorure de potassium;100
VALUES;MP466;E509 - chlorure de calcium;100
VALUES;MP467;E510 - chlorure d'ammonium;100
VALUES;MP468;E511 - chlorure de magnésium;100
VALUES;MP469;E512 - chlorure stanneux;100
VALUES;MP470;E513 - acide sulfurique;100
VALUES;MP471;E514 - sulfate de sodium;100
VALUES;MP472;E514(ii) - hydrogenosulfate de sodium;100
VALUES;MP473;E515 - sulfate de potassium;100
VALUES;MP474;E516 - sulfate de calcium, gypse, plâtre de paris;100
VALUES;MP475;E517 - sulfate d'ammonium, stabilisateur;100
VALUES;MP476;E518 - sulfate de magnésium;100
VALUES;MP477;E519 - sulfate de cuivre;100
VALUES;MP478;E520 - sulfate d'aluminium;100
VALUES;MP479;E521 - sulfate d'aluminium sodique;100
VALUES;MP480;E522 - sulfate d'aluminium potassique;100
VALUES;MP481;E523 - sulfate d'aluminium ammonique;100
VALUES;MP482;E524 - hydroxyde de sodium;100
VALUES;MP483;E525 - hydroxyde de potassium;100
VALUES;MP484;E526 - hydroxyde de calcium;100
VALUES;MP485;E527 - hydroxyde d'ammonium;100
VALUES;MP486;E528 - hydroxyde de magnésium;100
VALUES;MP487;E529 - oxyde de calcium, chaux vive;100
VALUES;MP488;E530 - oxyde de magnésium périclase;100
VALUES;MP489;E535 - ferrocyanure de sodium (prussiate jaune de sodium);100
VALUES;MP490;E536 - ferrocyanure de potassium;100
VALUES;MP491;E537 - hexacyanomanganate de fer;100
VALUES;MP492;E538 - ferrocyanure de calcium;100
VALUES;MP493;E539 - thiosulfate de sodium, antioxidant;100
VALUES;MP494;E540 - phosphate acide de calcium;100
VALUES;MP495;E541 - phosphate d'aluminium et de sodium;100
VALUES;MP496;E541(i) - phosphate de sodium-aluminium (acide), régulateur de l'acidité, émulsifiant, agent levant;100
VALUES;MP497;E541(ii) - phosphate de sodium-aluminium (basique), régulateur de l'acidité, émulsifiant;100
VALUES;MP498;E542 - phosphate d'os comestible;100
VALUES;MP499;E543 - polyphosphate de sodium de calcium, émulsifiant;100
VALUES;MP500;E544 - polyphosphate de calcium;100
VALUES;MP501;E545 - polyphosphate d'ammonium;100
VALUES;MP502;E546 - pyrophosphate de magnésium;100
VALUES;MP503;E550 - silicate de sodium;100
VALUES;MP504;E550(i) - silicate de sodium, antiagglomérant;100
VALUES;MP505;E550(ii) - metasilicate de sodium, antiagglomérant;100
VALUES;MP506;E551 - dioxyde de silicium;100
VALUES;MP507;E552 - silicate de calcium;100
VALUES;MP508;E553 - silicate de magnésium, agent anticoagulant;100
VALUES;MP509;E553(i) - silicate de magnésium, antiagglomérant, poudre pour pulvérisation sèche;100
VALUES;MP510;E553(ii) - trisilicate de magnésium, antiagglomérant, poudre pour pulvérisation sèche;100
VALUES;MP511;E553(iii) - talc, antiagglomérant, poudre pour pulvérisation sèche, agent d'enrobage, agent de finition superficielle, agent de texture;100
VALUES;MP512;E553a(i) - silicate de magnésium;100
VALUES;MP513;E553a(ii) - trisilicate de magnésium;100
VALUES;MP514;E553b - talc;100
VALUES;MP515;E554 - silicate alumino-sodique;100
VALUES;MP516;E555 - silicate alumino-potassique;100
VALUES;MP517;E556 - silicate alumino-calcique;100
VALUES;MP518;E557 - silicate de zinc;100
VALUES;MP519;E558 - bentonite;100
VALUES;MP520;E559 - silicate d'aluminium (kaolin);100
VALUES;MP521;E560 - silicate de potassium, antiagglomérant;100
VALUES;MP522;E570 - acide stéarique, stéarine;100
VALUES;MP523;E571 - stéarate d'ammonium, agent anticoagulant;100
VALUES;MP524;E572 - stéarate de magnésium;100
VALUES;MP525;E573 - stéarate d'aluminium;100
VALUES;MP526;E574 - acide gluconique;100
VALUES;MP527;E575 - glucono-delta-lactone;100
VALUES;MP528;E576 - gluconate de sodium;100
VALUES;MP529;E577 - gluconate de potassium;100
VALUES;MP530;E578 - gluconate de calcium;100
VALUES;MP531;E579 - gluconate ferreux;100
VALUES;MP532;E580 - gluconate de magnésium, régulateur de l'acidité, affermissant, évaluateur d'arome;100
VALUES;MP533;E585 - lactate ferreux;100
VALUES;MP534;E586 - hexylresorcinol, 4-, agent de rétention de la couleur, antioxidant;100
VALUES;MP535;E620 - acide glutamique;100
VALUES;MP536;E621 - glutamate monosodique;100
VALUES;MP537;E622 - glutamate monopotassique;100
VALUES;MP538;E623 - diglutamate de calcium;100
VALUES;MP539;E624 - glutamate d'ammonium;100
VALUES;MP540;E625 - diglutamate de magnesium;100
VALUES;MP541;E626 - acide guanylique (guanosine monophosphate);100
VALUES;MP542;E627 - guanylate disodique;100
VALUES;MP543;E628 - guanylate dipotassique;100
VALUES;MP544;E629 - guanylate de calcium;100
VALUES;MP545;E630 - acide inosinique;100
VALUES;MP546;E631 - inosinate disodique;100
VALUES;MP547;E632 - inosinate dipotassique;100
VALUES;MP548;E633 - inosinate de calcium;100
VALUES;MP549;E634 - 5'-ribonucleotide calcique;100
VALUES;MP550;E635 - 5'-ribonucleotide disodique;100
VALUES;MP551;E636 - maltol;100
VALUES;MP552;E637 - ethyle maltol;100
VALUES;MP553;E638 - aspartame de sodium, l-, exaltateur d'arome;100
VALUES;MP554;E639 - alanine, dl-, exaltateur d'arome;100
VALUES;MP555;E640 - glycine et son sel de sodium;100
VALUES;MP556;E641 - l-leucine;100
VALUES;MP557;E642 - hydrochlorure de lysine, exaltateur d'arome;100
VALUES;MP558;E650 - acetate de zinc, exaltateur d'arome;100
VALUES;MP559;E710 - spiramycines antibiotique;100
VALUES;MP560;E713 - tylosine antibiotique;100
VALUES;MP561;E900 - polydimethylsiloxane (dimethicone);100
VALUES;MP562;E900a - polydimethylsiloxane, antimoussant, antiagglomérant, émulsifiant;100
VALUES;MP563;E900b - methylphenylpolisiloxane, antimoussant;100
VALUES;MP564;E901 - cire d'abeille blanchâtre, cire d'abeille jaunâtre;100
VALUES;MP565;E902 - cire de candelilla;100
VALUES;MP566;E903 - cire de carnauba, cire d'abeille jaunâtre;100
VALUES;MP567;E904 - gomme laque (ou shellac);100
VALUES;MP568;E905 - huile minérale, paraffine;100
VALUES;MP569;E905a - huile minérale de qualité alimentaire, agent de glaçage, agent de conditionnement hermetique;100
VALUES;MP570;E905b - vaseline (petrolatum), agent de glaçage, agent de conditionnement hermétique, antimoussant;100
VALUES;MP571;E905c - cire de pétrole, agent de glaçage, agent de conditionnement hermétique;100
VALUES;MP572;E905c(i) - cire microcristalline, agent de glaçage;100
VALUES;MP573;E905c(ii) - cire de paraffine, agent de glaçage;100
VALUES;MP574;E905d - huile minérale, viscosité élevée agent de glaçage, agent de conditionnement hermétique;100
VALUES;MP575;E905e - huile minérale, viscosite moyenne et faible (catégorie i), agent de glaçage, agent de conditionnement hermétique;100
VALUES;MP576;E905f - huile minérale, viscosité moyenne et faible (catégorie ii), agent de glaçage, agent de conditionnement hermétique;100
VALUES;MP577;E905g - huile minérale, viscosité moyenne et faible (catégorie iii), agent de glaçage, agent de conditionnement hermétique;100
VALUES;MP578;E906 - gomme benzoïque;100
VALUES;MP579;E907 - cire microcristalline raffinée;100
VALUES;MP580;E908 - cire de son de riz;100
VALUES;MP581;E909 - cire de blanc de baleine, agent de glaçage;100
VALUES;MP582;E910 - esters de cires, agent de glaçage;100
VALUES;MP583;E911 - esters méthyliques d'acides gras, agent de glaçage;100
VALUES;MP584;E912 - ester de l'acide montanique;100
VALUES;MP585;E913 - lanoline;100
VALUES;MP586;E914 - cire de polyéthylène oxydée;100
VALUES;MP587;E915 - esters de colophane;100
VALUES;MP588;E916 - iodate de calcium, agent de traitement des farines;100
VALUES;MP589;E917 - iodate de potassium, agent de traitement des farines;100
VALUES;MP590;E918 - oxydes d'azote, agent de traitement des farines;100
VALUES;MP591;E919 - chlorure de nitrosyle, agent de traitement des farines;100
VALUES;MP592;E920 - l-cysteine et ses chlorhydrates;100
VALUES;MP593;E921 - cystine;100
VALUES;MP594;E922 - persulfate de potassium;100
VALUES;MP595;E923 - persulfate d'ammonium;100
VALUES;MP596;E924 - bromate de potassium;100
VALUES;MP597;E924a - bromate de potassium, agent de traitement des farines;100
VALUES;MP598;E924b - bromate de calcium, agent de traitement des farines;100
VALUES;MP599;E925 - chlore;100
VALUES;MP600;E926 - dioxyde de chlore;100
VALUES;MP601;E927 - azoformamide, azodicarbonamide;100
VALUES;MP602;E927a - azoformamide;100
VALUES;MP603;E927b - carbamide, uree;100
VALUES;MP604;E928 - peroxyde de benzoyle;100
VALUES;MP605;E929 - peroxyde d'acétone, agent de traitement des farines;100
VALUES;MP606;E930 - peroxyde de calcium;100
VALUES;MP607;E931 - diazote, nitrogène (anc.);100
VALUES;MP608;E932 - oxyde d'azote;100
VALUES;MP609;E938 - argon;100
VALUES;MP610;E939 - hélium;100
VALUES;MP611;E940 - dichlorodifluoromethane;100
VALUES;MP612;E941 - diazote;100
VALUES;MP613;E942 - protoxyde d'azote;100
VALUES;MP614;E943a - butane;100
VALUES;MP615;E943b - isobutane;100
VALUES;MP616;E944 - propane;100
VALUES;MP617;E945 - chloropentafluoroethane;100
VALUES;MP618;E946 - octafluorocyclobutane;100
VALUES;MP619;E948 - dioxygène;100
VALUES;MP620;E949 - dihydrogène;100
VALUES;MP621;E950 - acésulfame k;100
VALUES;MP622;E951 - aspartame;100
VALUES;MP623;E952 - acide cyclamique et ses sels (cyclamates) de na et de ca;100
VALUES;MP624;E952(i) - acide cyclamique, édulcorant;100
VALUES;MP625;E952(ii) - cyclamate de calcium, édulcorant;100
VALUES;MP626;E952(iii) - cyclamate de potassium, édulcorant;100
VALUES;MP627;E952(iv) - cyclamate de sodium, édulcorant;100
VALUES;MP628;E953 - isomalt;100
VALUES;MP629;E954 - saccharine et ses sels (saccharinates) de na, k et ca;100
VALUES;MP630;E954(i) - saccharine, édulcorant;100
VALUES;MP631;E954(ii) - saccharine de calcium, édulcorant;100
VALUES;MP632;E954(iii) - saccharine de potassium, édulcorant;100
VALUES;MP633;E954(iv) - saccharine de sodium, édulcorant;100
VALUES;MP634;E955 - sucralose;100
VALUES;MP635;E956 - alitame;100
VALUES;MP636;E957 - thaumatine;100
VALUES;MP637;E958 - acide glycyrrhizique et sels, glycyrrhizine, liquorice;100
VALUES;MP638;E959 - neohesperidine dihydrochalcone (nhdc);100
VALUES;MP639;E960 - glucosides de steviol (stevioside et rebaudioside a), extrait de stevia, édulcorant;100
VALUES;MP640;E961 - neotame;100
VALUES;MP641;E962 - sel d'aspartame-acésulfame;100
VALUES;MP642;E963 - tagatose, d-, édulcorant;100
VALUES;MP643;E964 - sirop de polyglycitol, édulcorant;100
VALUES;MP644;E965 - maltitol, adoucissant;100
VALUES;MP645;E965(i) - maltitol;100
VALUES;MP646;E965(ii) - sirop de maltitol;100
VALUES;MP647;E966 - lactitol;100
VALUES;MP648;E967 - xylitol;100
VALUES;MP649;E968 - erythritol;100
VALUES;MP650;E999 - extraits de quillaia (moussant);100
VALUES;MP651;E999(i) - extrait de quillaia de type 1, agent moussant, émulsifiant;100
VALUES;MP652;E999(ii) - extrait de quillaia de type 2, agent moussant, émulsifiant;100
