semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_fr;Definition;resourceSubTypeCode;Domain;ExternalLink;changeLog;Status;Version
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SG_HAS;AdditionalTradeItemIdentificationTypeCode;SG_HAS;Singapore Health Sciences Authority (HAS);Autorité des sciences de la santé de Singapour (HAS);Health Sciences Authority (HAS) manages the market authorisation of healthcare products in Singapore - SG.;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SMDC_UA;AdditionalTradeItemIdentificationTypeCode;SMDC_UA;State Service of Ukraine on Medicines and Drugs Control (SMDC);Service d'État de l'Ukraine pour le contrôle des médicaments et des drogues (SMDC);State Service of Ukraine on Medicines and Drugs Control (SMDC) manages the market authorisation of healthcare products in Ukraine - UA;CODEVALUE;Shared;;NEW;CURRENT;5
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SN_DPM;AdditionalTradeItemIdentificationTypeCode;SN_DPM;Senegal La Direction de la Pharmacie et du Médicament (DPM);Sénégal La Direction de la Pharmacie et du Médicament (DPM);La Direction de la Pharmacie et du Médicament (DPM) manages the market authorisation of healthcare products in Senegal - SN.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SRAMA;AdditionalTradeItemIdentificationTypeCode;SRAMA;State Regulatory Agency for Medical Activities;Agence nationale de régulation des activités médicales;State Regulatory Agency for Medical Activities manages the market authorisation of healthcare products in Georgia - GE;CODEVALUE;Shared;;NEW;CURRENT;5
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SS_MOH;AdditionalTradeItemIdentificationTypeCode;SS_MOH;South Sudan Ministry of Health (MOH) - Republic of South Sudan (RSS);Ministère de la Santé du Soudan du Sud (MOH) - République du Soudan du Sud (RSS);The Ministry of Health (MOH) Drug & Food Control Authority manages the market authorization of healthcare products in South Sudan -SS.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SUPPLIER_ASSIGNED;AdditionalTradeItemIdentificationTypeCode;SUPPLIER_ASSIGNED;Supplier Assigned;Fournisseur attribué;The additional Trade Item Identification value populated by the supplier in most cases a non-GS1 item number. ;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SWISSMEDIC_NUMBER;AdditionalTradeItemIdentificationTypeCode;SWISSMEDIC_NUMBER;Swissmedic Number;Numéro Swissmedic;Every drug authorised in Switzerland is assigned such a number when it is authorised. The Swissmedic number must be printed on the package.The Swiss Medic number is a market authorization number.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:SZ_MOH;AdditionalTradeItemIdentificationTypeCode;SZ_MOH;Ministry of Health (MOH) Eswatini;Ministère de la Santé (MOH) Eswatini;Ministry of Health (MOH) manages the market authorisation of healthcare products in Eswatini - SZ.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:TFDA;AdditionalTradeItemIdentificationTypeCode;TFDA;Tanzania Food and Drugs Authority (TFDA);Autorité tanzanienne des aliments et des médicaments (TFDA);Tanzania Food and Drugs Authority (TFDA) manages the market authorisation of healthcare products in Tanzania - TZ;CODEVALUE;Shared;;NEW;CURRENT;5
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:TG_DPML;AdditionalTradeItemIdentificationTypeCode;TG_DPML;Togo Direction de la pharmacie, du Médicament et des Laboratoires (DPML);Togo Direction de la pharmacie, du Médicament et des Laboratoires (DPML);Direction de la pharmacie, du Médicament et des Laboratoires (DPML) manages the market authorisation of healthcare products in Togo - TG.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:TZ_TMDA;AdditionalTradeItemIdentificationTypeCode;TZ_TMDA;Tanzania Medicines & Medical Devices Authority (TMDA);Autorité tanzanienne des médicaments et des dispositifs médicaux (TMDA);Tanzania Medicines & Medical Devices Authority (TMDA) manages the market authorisation of healthcare products in Tanzania - TZ.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:UG_NDA;AdditionalTradeItemIdentificationTypeCode;UG_NDA;Uganda National Drug Authority (NDA);Autorité nationale ougandaise des drogues (NDA);National Drug Authority (NDA) manages the market authorisation of healthcare products in Uganda - UG.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:US_CMS_NDC;AdditionalTradeItemIdentificationTypeCode;US_CMS_NDC;US Centers for Medicare and Medicaid Services National Drug Code;Code national des médicaments des Centres américains pour les services Medicare et Medicaid;"This derivative of the National Drug Code (NDC) was created and is utilized by the Centers for Medicare and Medicaid Services (CMS). The Health Insurance Portability and Accountability Act (HIPAA) standard code set expects the NDC to be expressed in a 5-4-2 configuration. When necessary, a zero (“0”) will pad the labeler, product, or package code segments of the FDA NDC to ensure a fixed length in the 5-4-2 configuration. The CMS NDC, of uniform code length, is referenced in lists and databases of additional US government agencies (such as the UMLS) in place of the FDA NDC.
";CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:US_FDA_NDC;AdditionalTradeItemIdentificationTypeCode;US_FDA_NDC;US Federal Food, Drug National Drug Code;US Federal Food, Drug National Drug Code;"The National Drug Code (NDC) of the United States of America is a unique 3-segment number, including dashes, assigned to each medication listed under Section 510 of the U.S. Federal, Food, Drug, and Cosmetics Act. This combination of numeric segments representing the labeler or vendor, product, and trade package size is the principal identifier for medications in the eyes of the U.S. Food and Drug Administration (FDA). 
";CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:WAND_NUMBER;AdditionalTradeItemIdentificationTypeCode;WAND_NUMBER;WAND Number;Numéro de BAGUETTE;The identification code assigned from the WAND (Web Assisted Notification of Devices) database.;CODEVALUE;Shared;;NEW;CURRENT;3
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:WHOPQN;AdditionalTradeItemIdentificationTypeCode;WHOPQN;WHO PreQualification Number;Numéro de préqualification de l'OMS;The World Health Organization’s Prequalification ensures active pharmaceutical ingredients (APIs) and finished pharmaceutical products (FPPs) are safe, appropriate and meet stringent quality standards. In addition to medicines, WHO prequalification also covers in vitro diagnostics, vaccines and vector control products. https://extranet.who.int/prequal/content/what-we-do;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:Z_INDEX;AdditionalTradeItemIdentificationTypeCode;Z_INDEX;Z INDEX;INDICE Z;An additional identification number used to identify all medical supplies and drugs in the Netherlands when managing reimbursements for the items. The Z-Index number is assigned to every product by Z-Index, which is a regulatory body in the Netherlands for the healthcare industry.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ZAMRA;AdditionalTradeItemIdentificationTypeCode;ZAMRA;Zambia Medicines Regulatory Authority (ZAMRA);Autorité zambienne de réglementation des médicaments (ZAMRA);Zambia Medicines Regulatory Authority (ZAMRA) manages the market authorisation of healthcare products in Zambia - ZM;CODEVALUE;Shared;;NEW;CURRENT;5
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode;AlcoholBeverageDistilledFromCode;;;;Code list developed and managed by GS1.;CODELIST;GDSN;;NEW ;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:APPLE;AlcoholBeverageDistilledFromCode;APPLE;Apple;Pomme;Apple;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:BARLEY;AlcoholBeverageDistilledFromCode;BARLEY;Barley;Orge;Barley;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:CORN;AlcoholBeverageDistilledFromCode;CORN;Corn;Maïs;Corn;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:GRAIN;AlcoholBeverageDistilledFromCode;GRAIN;Grain;Grain;Grain;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:GRAPE;AlcoholBeverageDistilledFromCode;GRAPE;Grape;Raisin;Grape;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:HONEY;AlcoholBeverageDistilledFromCode;HONEY;Honey;Chéri;Honey;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:HOPS;AlcoholBeverageDistilledFromCode;HOPS;Hops;Houblon;Hops;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MALT;AlcoholBeverageDistilledFromCode;MALT;Malt;Malt;Malt;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MILK;AlcoholBeverageDistilledFromCode;MILK;Milk;Lait;Milk;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MOLASSES;AlcoholBeverageDistilledFromCode;MOLASSES;Molasses;Mélasse;Molasses;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:OATS;AlcoholBeverageDistilledFromCode;OATS;Oats;Avoine;Oats;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:PEAR;AlcoholBeverageDistilledFromCode;PEAR;Pear;Poire;Pear;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:POTATO;AlcoholBeverageDistilledFromCode;POTATO;Potato;Pomme de terre;Potato;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:QUINOA;AlcoholBeverageDistilledFromCode;QUINOA;Quinoa;quinoa;Quinoa;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:RYE;AlcoholBeverageDistilledFromCode;RYE;Rye;Seigle;Rye;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:SPELT;AlcoholBeverageDistilledFromCode;SPELT;Spelt;Orthographié;Spelt;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:SUGARCANE;AlcoholBeverageDistilledFromCode;SUGARCANE;Sugarcane;Canne à sucre;Sugarcane;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:SUGARCANE_JUICE;AlcoholBeverageDistilledFromCode;SUGARCANE_JUICE;Sugarcane Juice;Jus de canne à sucre;Sugarcane Juice;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:SWEET_POTATO;AlcoholBeverageDistilledFromCode;SWEET_POTATO;Sweet Potato;Patate douce;Sweet Potato;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:UNCLASSIFIED;AlcoholBeverageDistilledFromCode;UNCLASSIFIED;Unclassified;Non classé;Unclassified;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:UNIDENTIFIED;AlcoholBeverageDistilledFromCode;UNIDENTIFIED;Unidentified;Non identifié;Unidentified;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:WHEAT;AlcoholBeverageDistilledFromCode;WHEAT;Wheat;Blé;Wheat;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode;AlcoholBeverageFilteringMethodTypeCode;;;;Code list developed and managed by GS1.;CODELIST;GDSN;;NEW ;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode:CHARCOAL;AlcoholBeverageFilteringMethodTypeCode;CHARCOAL;Charcoal;charbon;Charcoal;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode:CHILLED;AlcoholBeverageFilteringMethodTypeCode;CHILLED;Chilled;Glacé;Chilled;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode:NON_CHILLED;AlcoholBeverageFilteringMethodTypeCode;NON_CHILLED;Non-Chilled;Non réfrigéré;Non-Chilled;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode:OTHER;AlcoholBeverageFilteringMethodTypeCode;OTHER;Other;Autre;Other;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageFilteringMethodTypeCode:UNFILTERED;AlcoholBeverageFilteringMethodTypeCode;UNFILTERED;Unfiltered;Non filtré;Unfiltered is not having been passed through a filter.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode;AlcoholBeverageProductionMethodTypeCode;;;;Code list developed and managed by GS1.;CODELIST;GDSN;;NEW ;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:ARTIFICIAL_CARBONATION;AlcoholBeverageProductionMethodTypeCode;ARTIFICIAL_CARBONATION;Artificial Carbonation;Carbonatation artificielle;Artificial Carbonation;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:CHAMPENOISE;AlcoholBeverageProductionMethodTypeCode;CHAMPENOISE;Champenoise;Champenoise;Champenoise;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:CHARMAT_PROCESS_CUVE_CLOSE;AlcoholBeverageProductionMethodTypeCode;CHARMAT_PROCESS_CUVE_CLOSE;Charmat Process/Cuve Close;Processus Charmat/Cuve Fermer;Charmat Process/Cuve Close;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:METHODE_TRADITIONNELLE;AlcoholBeverageProductionMethodTypeCode;METHODE_TRADITIONNELLE;Methode Traditionnelle;Méthode Traditionnelle;Methode Traditionnelle;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:METHODE_TRADITIONNELLE_CRÉMANT;AlcoholBeverageProductionMethodTypeCode;METHODE_TRADITIONNELLE_CRÉMANT;Methode Traditionnelle/Crémant;Méthode Traditionnelle/Crémant;"Methode Traditionnelle/Crémant
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:RURAL_GAILLACOIS;AlcoholBeverageProductionMethodTypeCode;RURAL_GAILLACOIS;Rural/Gaillacois;Rural/Gaillacois;Rural/Gaillacois;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:TRANSFER;AlcoholBeverageProductionMethodTypeCode;TRANSFER;Transfer;Transfert;Transfer;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:UNCLASSIFIED;AlcoholBeverageProductionMethodTypeCode;UNCLASSIFIED;Unclassified;Non classé;Unclassified;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageProductionMethodTypeCode:UNIDENTIFIED;AlcoholBeverageProductionMethodTypeCode;UNIDENTIFIED;Unidentified;Non identifié;Unidentified;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode;AlcoholBeverageTypeCode;;;;Code list developed and managed by GS1.;CODELIST;GDSN;;NEW ;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_PRE_MIXED_DRINK_LIQUEUR_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_PRE_MIXED_DRINK_LIQUEUR_BASED;Alcoholic Pre-mixed Drink-Liqueur Based;Boisson alcoolisée pré-mélangée à base de liqueur;A pre-mixed or ready to drink alcohol product which has been produced from a base of liqueur.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_PRE_MIXED_DRINK_MALT_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_PRE_MIXED_DRINK_MALT_BASED;Alcoholic Pre-mixed Drink-Malt Based;Boisson alcoolisée pré-mélangée à base de malt;A pre-mixed or ready to drink alcohol product which has been produced from a base of Malt.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_PRE_MIXED_DRINK_SPIRIT_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_PRE_MIXED_DRINK_SPIRIT_BASED;Alcoholic Pre-mixed Drink-Spirit Based;Boisson alcoolisée pré-mélangée à base de spiritueux;A pre-mixed or ready to drink alcohol product which has been produced from a base of Spirits, which are not liqueurs.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_PRE_MIXED_DRINK_WINE_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_PRE_MIXED_DRINK_WINE_BASED;Alcoholic Pre-mixed Drink-Wine Based;Boisson alcoolisée pré-mélangée à base de vin;A pre-mixed or ready to drink alcohol product which has been produced from a base of Wine;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_PRE_MIXED_DRINKS_OTHER;AlcoholBeverageTypeCode;ALCOHOLIC_PRE_MIXED_DRINKS_OTHER;Alcoholic Pre-Mixed Drinks-Other;Boissons alcoolisées prémélangées-Autres;The alcohol product is a Alcoholic Pre-Mixed Drinks which is not otherwise enumerated in this codeset;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_SYRUP_OR_BITTERS_BEAN_KERNEL_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_SYRUP_OR_BITTERS_BEAN_KERNEL_BASED;Alcoholic Syrup or Bitters-Bean/Kernel Based;Sirop alcoolisé ou à base de haricots amers/noyaux;"Bitters are an alcoholic preparation flavoured with botanical matter so that the end result is characterized by a bitter, sour, or bittersweet flavour. This product is based on beans or kernels.
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:ALCOHOLIC_SYRUP_OR_BITTERS_HERB_BASED;AlcoholBeverageTypeCode;ALCOHOLIC_SYRUP_OR_BITTERS_HERB_BASED;Alcoholic Syrup or Bitters-Herb Based;Sirop alcoolisé ou à base d'herbes amères;"Bitters are an alcoholic preparation flavoured with botanical matter so that the end result is characterized by a bitter, sour, or bittersweet flavour. This product is based on herbs.
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_ABBEY_TRAPPIST;AlcoholBeverageTypeCode;BEER_ABBEY_TRAPPIST;Beer-Abbey/Trappist;Bière-Abbaye/Trappiste;Trappist or Abbey beers are known for their spiced, sweet, and fruity flavours and high alcohol content. Despite their high alcohol content, Trappist of Abbey beers are usually low in bitterness. Also known as Belgian style ale/beer.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_ALE_BITTER;AlcoholBeverageTypeCode;BEER_ALE_BITTER;Beer-Ale/Bitter;Bière-Ale/Bitter;Bitter beers are characterized by a distinct bitterness, and of which the colour can vary from golden blond to dark amber.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_BOCK;AlcoholBeverageTypeCode;BEER_BOCK;Bock beer;Bière Bock;Bock is a bottom fermenting lager and typically spends extra time in cold storage during the winter months to smooth the intense flavours that develop during the brewing process. Stronger than a typical lager, bock is dark amber in colour with robust malt flavours and very light hoppiness.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_INDIA_PALE_ALE;AlcoholBeverageTypeCode;BEER_INDIA_PALE_ALE;Beer-India Pale Ale;Bière-India Pale Ale;IPAs (short for India pale ales) boast strong hop bitterness with piney and floral flavours. These beers also have high alcohol content.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_LAGER;AlcoholBeverageTypeCode;BEER_LAGER;Beer-Lager;Bière blonde;Lager beers are made with bottom-fermenting yeast. Because the Lager yeast works at low temperatures, it converts the sugars very slowly into alcohol without leaving many traces. The taste of the beer therefore comes almost entirely from the grains and hops. ;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_OTHER;AlcoholBeverageTypeCode;BEER_OTHER;Beer-Other;Bière-Autre;The alcohol product is a Beer which is not otherwise enumerated in this codeset;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_SOUR;AlcoholBeverageTypeCode;BEER_SOUR;Beer-Sour;Bière-Sour;Sour beer is typically very low in alcohol, and feature tart, sour flavours that come from (safe) bacteria in the brew mash.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_STOUT_PORTER;AlcoholBeverageTypeCode;BEER_STOUT_PORTER;Beer-Stout/Porter;Bière-Stout/Porter;Stout and Porter are both malty beers of dark malt, dark in colour,  in both a lot of hops is used, and both have a thick creamy, firm mocha coloured foam head.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:BEER_WHEAT_BEER;AlcoholBeverageTypeCode;BEER_WHEAT_BEER;Beer-Wheat Beer;Bière-bière de blé;Wheat beers use wheat as their malt. They are generally lighter in colour and alcohol content. Their tangy flavours go great with fruit, and brewers often add seasonal fruits to wheat beer.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FLAVOURED_BEER;AlcoholBeverageTypeCode;FLAVOURED_BEER;Flavoured beer;Bière aromatisée;Beer, flavoured with spirit, fruit, herbs or other flavourings, after the fermentation.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_ICE_WINE;AlcoholBeverageTypeCode;FORTIFIED_WINE_ICE_WINE;Fortified Wine-Ice Wine;Vin fortifié-Vin de glace;Ice wine is a type of dessert wine produced from grapes that have been frozen while still on the vine which has been fortified with a distilled spirit, usually Brandy.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MADEIRA;AlcoholBeverageTypeCode;FORTIFIED_WINE_MADEIRA;Fortified Wine-Madeira;Vin Fortifié-Madère;Madeira is a fortified wine made on the Portuguese Madeira Islands, off the coast of Africa. Madeira is produced in a variety of styles ranging from dry wines which can be consumed on their own as an aperitif to sweet wines usually consumed with dessert.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MALAGA;AlcoholBeverageTypeCode;FORTIFIED_WINE_MALAGA;Fortified Wine-Malaga;Vin Fortifié-Malaga;Malaga is a sweet fortified wine originating in the Spanish city of Málaga made from Pedro Ximénez and Moscatel grapes.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MARSALA;AlcoholBeverageTypeCode;FORTIFIED_WINE_MARSALA;Fortified Wine-Marsala;Vin Fortifié-Marsala;Marsala is a fortified wine, dry or sweet, produced in the region surrounding the Italian city of Marsala in Sicily.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MOSCATEL;AlcoholBeverageTypeCode;FORTIFIED_WINE_MOSCATEL;Fortified Wine-Moscatel;Vin Fortifié-Moscatel;Moscatel is a type of wine made from muscat grapes.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MUSCAT_DE_BEAUMES_DE_VENISE;AlcoholBeverageTypeCode;FORTIFIED_WINE_MUSCAT_DE_BEAUMES_DE_VENISE;Fortified Wine-Muscat de Beaumes de Venise;Vin Fortifié-Muscat de Beaumes de Venise;A sweet fortified wine of the type vin doux naturel (VDN), under the designation Muscat de Beaumes de Venise;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MUSCAT_DE_FRONTIGNAN;AlcoholBeverageTypeCode;FORTIFIED_WINE_MUSCAT_DE_FRONTIGNAN;Fortified Wine-Muscat de Frontignan;Vin Fortifié-Muscat de Frontignan;Muscat de Frontignan is a white wine grape of Greek origin that is a member of the Muscat family of Vitis vinifera. Its name comes from its characteristic small berry size and tight clusters.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MUSCAT_DE_LUNEL;AlcoholBeverageTypeCode;FORTIFIED_WINE_MUSCAT_DE_LUNEL;Fortified Wine-Muscat de Lunel;Vin Fortifié-Muscat de Lunel;Muscat de Lunel is a white wine grape of Greek origin that is a member of the Muscat family of Vitis vinifera. Its name comes from its characteristic small berry size and tight clusters.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MUSCAT_DE_MIREVAL;AlcoholBeverageTypeCode;FORTIFIED_WINE_MUSCAT_DE_MIREVAL;Fortified Wine-Muscat de Mireval;Vin Fortifié-Muscat de Mireval;Muscat de Mireval is a white wine grape of Greek origin that is a member of the Muscat family of Vitis vinifera. Its name comes from its characteristic small berry size and tight clusters.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AlcoholBeverageTypeCode:FORTIFIED_WINE_MUSCAT_DE_RIVESALTES;AlcoholBeverageTypeCode;FORTIFIED_WINE_MUSCAT_DE_RIVESALTES;Fortified Wine-Muscat de Rivesaltes;Vin Fortifié-Muscat de Rivesaltes;Muscat de Rivesaltes is a white wine grape of Greek origin that is a member of the Muscat family of Vitis vinifera. Its name comes from its characteristic small berry size and tight clusters.;CODEVALUE;GDSN;;NEW;CURRENT;1
