semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_en;bcpg:lvValue_fr;bcpg:lvValue_de;bcpg:lvValue_nl;bcpg:lvValue_es;bcpg:lvValue_en_US;bcpg:lvValue_it;bcpg:lvValue_pt;bcpg:lvValue_sv;bcpg:lvValue_fi;changeLog;Status;Version;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:71;CatchAreaCode_GDSN;71;Pacific, Western Central;Pacific, Western Central.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:77;CatchAreaCode_GDSN;77;Pacific, Eastern Central;Pacific, Eastern Central.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:81;CatchAreaCode_GDSN;81;Pacific, Southwest;Pacific, Southwest.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:87;CatchAreaCode_GDSN;87;Pacific, Southeast;Pacific, Southeast.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:87.1;CatchAreaCode_GDSN;87.1;Northern Pacific, Southeast (Subarea 87.1);Northern Pacific, Southeast (Subarea 87.1);;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:87.2;CatchAreaCode_GDSN;87.2;Central Pacific, Southeast (Subarea 87.2);Central Pacific, Southeast (Subarea 87.2);;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:87.3;CatchAreaCode_GDSN;87.3;Southern Pacific, Southeast (Subarea 87.3);Southern Pacific, Southeast (Subarea 87.3);;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:88;CatchAreaCode_GDSN;88;Pacific, Antarctic;Pacific, Antarctic.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:88.1;CatchAreaCode_GDSN;88.1;Eastern Ross Sea (Subarea 88.1);Eastern Ross Sea (Subarea 88.1);Mer de Ross orientale (sous-zone 88.1);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:88.2;CatchAreaCode_GDSN;88.2;Western Ross Sea (Subarea 88.2);Western Ross Sea (Subarea 88.2);Mer de Ross occidentale (sous-zone 88.2);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchAreaCode_GDSN:88.3;CatchAreaCode_GDSN;88.3;Amundsen Sea (Subarea 88.3);Amundsen Sea (Subarea 88.3);Mer d'Amundsen (sous-zone 88.3);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode;CatchMethodCode;;;;;;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:01;CatchMethodCode;1;Surrounding Nets;Surrounding Nets;Filets environnants;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:02;CatchMethodCode;2;Seine Nets;Seine Nets;Seines;;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:03;CatchMethodCode;3;Trawls;Trawls;Chaluts;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;2;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:04;CatchMethodCode;4;Dredges;Dredges;dragues;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:05;CatchMethodCode;5;Lift Nets;Lift Nets;Filets de levage, then lifted out of the water. Lift nets are divided into: • Portable lift nets • Boat-operated lift nets • Shore-operated stationary lift nets • Lift nets (not enough information);;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;2;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:07;CatchMethodCode;7;Gillnets and Entangling Nets;Gillnets and Entangling Nets;Filets maillants et filets emmêlants;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;2;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:08;CatchMethodCode;8;Traps;Traps;Pièges;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;2;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:09;CatchMethodCode;9;Hooks and Lines;Hooks and Lines;Hameçons et lignes;;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:DRB;CatchMethodCode;DRB;Boat dredges;Boat dredges;Dragues à bateaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:DRH;CatchMethodCode;DRH;Hand dredges;Hand dredges;Dragues à main;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:DX;CatchMethodCode;DX;Dredges (not specified) (GS1 Code);Dredges (not specified) (GS1 Code);Dragues (non spécifiées) (Code GS1);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FAR;CatchMethodCode;FAR;Traps: Aerial traps;Traps: Aerial traps;Pièges : Pièges aériens;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FCN;CatchMethodCode;FCN;Cast nets;Cast nets;Éperviers;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FG;CatchMethodCode;FG;Falling gear (not specified);Falling gear (not specified);Engrenage en chute (non spécifié);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FIX;CatchMethodCode;FIX;Traps (not specified);Traps (not specified);Pièges (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FPN;CatchMethodCode;FPN;Traps: Stationary uncovered pound nets;Traps: Stationary uncovered pound nets;Pièges : Filets fixes non couverts;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FPO;CatchMethodCode;FPO;Traps: Pots;Traps: Pots;Pièges : Pots;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FSN;CatchMethodCode;FSN;Traps: Stow nets;Traps: Stow nets;Pièges : Filets de rangement;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FWR;CatchMethodCode;FWR;Traps: Barriers, fences, weirs, etc.;Pièges : Barrières, clôtures, barrages, etc.;Traps: Barriers, fences, weirs, etc.;;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:FYK;CatchMethodCode;FYK;Traps: Fyke nets;Traps: Fyke nets;Pièges : Verveux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GDS;CatchMethodCode;GDS;Gillnets: Set (anchored) gillnets: demersal gillnets;Gillnets: Set (anchored) gillnets: demersal gillnets;Filets maillants : Filets maillants calés (ancrés) : filets maillants démersaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GEN;CatchMethodCode;GEN;Gillnets and entangling nets (not specified);Gillnets and entangling nets (not specified);Filets maillants et filets emmêlants (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GN;CatchMethodCode;GN;Gillnets (not specified);Gillnets (not specified);Filets maillants (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GNC;CatchMethodCode;GNC;Encircling gillnets;Encircling gillnets;Filets maillants encerclants;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GND;CatchMethodCode;GND;Driftnets;Driftnets;Filets dérivants;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GNF;CatchMethodCode;GNF;Fixed gillnets (on stakes);Fixed gillnets (on stakes);Filets maillants fixes (sur piquets);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GNS;CatchMethodCode;GNS;Set gillnets (anchored);Set gillnets (anchored);Filets maillants calés (ancrés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GSP;CatchMethodCode;GSP;Gillnets: Set (anchored) gillnets: pelagic gillnets;Gillnets: Set (anchored) gillnets: pelagic gillnets;Filets maillants : Filets maillants calés (ancrés) : filets maillants pélagiques;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GTN;CatchMethodCode;GTN;Combined gillnets-trammel nets;Combined gillnets-trammel nets;Filets maillants-trémails combinés;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:GTR;CatchMethodCode;GTR;Trammel nets;Trammel nets;Filets trémails;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:HAR;CatchMethodCode;HAR;Harpoons;Harpoons;Harpons;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:HMD;CatchMethodCode;HMD;Mechanized dredges;Mechanized dredges;Dragues mécanisées;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:HMP;CatchMethodCode;HMP;Pumps;Pumps;Pompes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:HMX;CatchMethodCode;HMX;Harvesting machines (not specified);Harvesting machines (not specified);Machines de récolte (non spécifiées);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LA;CatchMethodCode;LA;Surrounding Nets- without purse lines (lampara);Surrounding Nets- without purse lines (lampara);Filets environnants - sans lignes de bourse (lampara);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LHM;CatchMethodCode;LHM;Handlines and pole-lines (mechanized);Handlines and pole-lines (mechanized);Lignes à main et lignes à canne (mécanisées);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LHP;CatchMethodCode;LHP;Handlines and pole-lines (hand-operated);Handlines and pole-lines (hand-operated);Lignes à main et lignes à canne (manutention manuelle);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LL;CatchMethodCode;LL;Longlines (not specified);Longlines (not specified);Palangres (non spécifiées);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LLD;CatchMethodCode;LLD;Drifting longlines;Drifting longlines;Palangres dérivantes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LLS;CatchMethodCode;LLS;Set longlines;Set longlines;Palangres fixes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LN;CatchMethodCode;LN;Lift nets (not specified);Lift nets (not specified);Filets de levage (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LNB;CatchMethodCode;LNB;Boat-operated lift nets;Boat-operated lift nets;Filets élévateurs actionnés par bateau;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LNP;CatchMethodCode;LNP;Portable lift nets;Portable lift nets;Filets de levage portables;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LNS;CatchMethodCode;LNS;Shore-operated stationary lift nets;Shore-operated stationary lift nets;Filets élévateurs stationnaires à terre;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LTL;CatchMethodCode;LTL;Trolling lines;Trolling lines;Lignes de traîne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LX;CatchMethodCode;LX;Hooks and lines (not specified)3;Hooks and lines (not specified)3;Hameçons et lignes (non spécifiés)3;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:LY;CatchMethodCode;LY;Surrounding nets and lift nets (not specified) (GS1 Code);Surrounding nets and lift nets (not specified) (GS1 Code);Filets périphériques et carrelets (non spécifiés) (Code GS1);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:MHI;CatchMethodCode;MHI;Hand implements;Hand implements;Outils à main;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:MIS;CatchMethodCode;MIS;Miscellaneous Gear;Miscellaneous Gear;Équipement divers;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:NK;CatchMethodCode;NK;Gear Not Known or Not Specified;Gear Not Known or Not Specified;Engrenage inconnu ou non spécifié;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:OT;CatchMethodCode;OT;Midwater trawls: Otter trawls (not specified);Midwater trawls: Otter trawls (not specified);Chaluts pélagiques : Chaluts à panneaux (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:OTB;CatchMethodCode;OTB;Bottom trawls - otter trawls;Bottom trawls - otter trawls;Chaluts de fond - chaluts à panneaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:OTM;CatchMethodCode;OTM;Midwater trawls- otter trawls;Midwater trawls- otter trawls;Chaluts pélagiques - chaluts à panneaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:OTT;CatchMethodCode;OTT;Midwater trawls: Otter twin trawls;Midwater trawls: Otter twin trawls;Chaluts pélagiques : Chaluts jumeaux à panneaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PS;CatchMethodCode;PS;Surrounding Nets with purse lines (purse seines);Surrounding Nets with purse lines (purse seines);Filets entourant les lignes de bourse (sennes coulissantes);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PS1;CatchMethodCode;PS1;Surrounding Nets - one boat operated purse seines;Surrounding Nets - one boat operated purse seines;Filets environnants - sennes coulissantes actionnées par un seul bateau;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PS2;CatchMethodCode;PS2;Surrounding Nets - two boats operated purse seines;Surrounding Nets - two boats operated purse seines;Filets environnants - deux bateaux actionnaient des sennes coulissantes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PT;CatchMethodCode;PT;Midwater trawls: Pair trawls (not specified);Midwater trawls: Pair trawls (not specified);Chaluts pélagiques : Chaluts-bœufs (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PTB;CatchMethodCode;PTB;Bottom trawls - pair trawls;Bottom trawls - pair trawls;Chaluts de fond - chaluts-bœufs;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:PTM;CatchMethodCode;PTM;Midwater trawls- pair trawls;Midwater trawls- pair trawls;Chaluts pélagiques - chaluts-bœufs;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:RG;CatchMethodCode;RG;Recreational Fishing Gear;Recreational Fishing Gear;Matériel de pêche récréative;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SB;CatchMethodCode;SB;Seine Nets: Beach seines;Seine Nets: Beach seines;Seines : Seines de plage;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SDN;CatchMethodCode;SDN;Seine Nets - Danish seines;Seine Nets - Danish seines;Seines - Seines danoises;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SPR;CatchMethodCode;SPR;Seine Nets - pair seines;Seine Nets - pair seines;Seines - sennes à deux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SPW;CatchMethodCode;SPW;Seine Nets: Purse seines - without FADs;Seine Nets: Purse seines - without FADs;Sennes : Sennes coulissantes - sans DCP;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SPWF;CatchMethodCode;SPWF;Seine Nets: Purse seines - with FADs;Seine Nets: Purse seines - with FADs;Sennes : Sennes coulissantes - avec DCP;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SSC;CatchMethodCode;SSC;Seine Nets - Scottish seines;Seine Nets - Scottish seines;Seines écossaises;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SV;CatchMethodCode;SV;Seine Nets: Boat or vessel seines;Seine Nets: Boat or vessel seines;Sennes : sennes de bateau ou de navire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:SX;CatchMethodCode;SX;Seine nets (not specified);Seine nets (not specified);Seines (non spécifiées);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TB;CatchMethodCode;TB;Bottom trawls - bottom trawls (not specified);Bottom trawls - bottom trawls (not specified);Chaluts de fond - chaluts de fond (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TBB;CatchMethodCode;TBB;Bottom trawls - beam trawls;Bottom trawls - beam trawls;Chaluts de fond - chaluts à perche;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TBN;CatchMethodCode;TBN;Bottom trawls - nephrops trawls;Bottom trawls - nephrops trawls;Chaluts de fond - chaluts à langoustines;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TBS;CatchMethodCode;TBS;Bottom trawls - shrimp trawls;Bottom trawls - shrimp trawls;Chaluts de fond - chaluts à crevettes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TM;CatchMethodCode;TM;Midwater trawls- midwater trawls (not specified);Midwater trawls- midwater trawls (not specified);Chaluts pélagiques - chaluts pélagiques (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TMS;CatchMethodCode;TMS;Midwater trawls- shrimp trawls;Midwater trawls- shrimp trawls;Chaluts pélagiques - chaluts à crevettes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TSP;CatchMethodCode;TSP;Pulse trawls;Pulse trawls;Chaluts à impulsions;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CatchMethodCode:TX;CatchMethodCode;TX;Midwater trawls: Other trawls (not specified);Midwater trawls: Other trawls (not specified);Chaluts pélagiques : Autres chaluts (non spécifiés);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode;CheeseMaturationProcessContainerTypeCode;;;;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode:BRINE_SOLUTION;CheeseMaturationProcessContainerTypeCode;BRINE_SOLUTION;Brine Solution;Brine Solution;Solution de saumure;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode:FOIL;CheeseMaturationProcessContainerTypeCode;FOIL;Foil;Foil;Déjouer;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode:MOULD;CheeseMaturationProcessContainerTypeCode;MOULD;Mould;Mould;Moule;;;;;;;;;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode:OTHER;CheeseMaturationProcessContainerTypeCode;OTHER;Other;Other;Autre;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:CheeseMaturationProcessContainerTypeCode:TEXTILE;CheeseMaturationProcessContainerTypeCode;TEXTILE;Textile;Textile;Textile;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ClinicalSizeMeasurementPrecisionCode;ClinicalSizeMeasurementPrecisionCode;;;;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ClinicalSizeMeasurementPrecisionCode:RANGE;ClinicalSizeMeasurementPrecisionCode;RANGE;Range;Range;Gamme;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ClinicalSizeMeasurementPrecisionCode:TEXT;ClinicalSizeMeasurementPrecisionCode;TEXT;Text;Text;Texte;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ClinicalSizeMeasurementPrecisionCode:VALUE;ClinicalSizeMeasurementPrecisionCode;VALUE;Value;Value;Valeur;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode;ContainerMaterialCode;;;;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:AMERICAN_WHITE_OAK_QUERCUS_ALBA;ContainerMaterialCode;AMERICAN_WHITE_OAK_QUERCUS_ALBA;American White Oak (Quercus Alba);American White Oak (Quercus Alba);Chêne blanc d'Amérique (Quercus Alba);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:FRENCH_OAK_QUERCUS_ROBUR_AND_PETRAEA;ContainerMaterialCode;FRENCH_OAK_QUERCUS_ROBUR_AND_PETRAEA;French Oak (Quercus Robur & Petraea);French Oak (Quercus Robur & Petraea);Chêne français (Quercus Robur & Petraea);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:OAK_UNCLASSIFIED;ContainerMaterialCode;OAK_UNCLASSIFIED;Oak - Unclassified;Oak - Unclassified;Chêne - Non classé;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:REPURPOSED_AMERICAN_WHITE_OAK_QUERCUS_ALBA__BOURBON;ContainerMaterialCode;REPURPOSED_AMERICAN_WHITE_OAK_QUERCUS_ALBA__BOURBON;Repurposed American White Oak (Quercus Alba) - (Bourbon);Repurposed American White Oak (Quercus Alba) - (Bourbon);Chêne blanc américain reconverti (Quercus Alba) - (Bourbon);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:STAINLESS_STEEL;ContainerMaterialCode;STAINLESS_STEEL;Stainless Steel;Stainless Steel;Acier inoxydable;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:UNCLASSIFIED;ContainerMaterialCode;UNCLASSIFIED;Unclassified;Unclassified;Non classé;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerMaterialCode:UNIDENTIFIED;ContainerMaterialCode;UNIDENTIFIED;Unidentified;Unidentified;Non identifié;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerProcessTypeCode;ContainerProcessTypeCode;;;;;;;;;;;;;GDSN;;NEW;CURRENT;1;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerProcessTypeCode:FINISHING;ContainerProcessTypeCode;FINISHING;Finishing;Finishing;Finition;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerProcessTypeCode:MATURATION_PRIMARY;ContainerProcessTypeCode;MATURATION_PRIMARY;Maturation-Primary;Maturation-Primary;Maturation-Primaire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerProcessTypeCode:MATURATION_SECONDARY;ContainerProcessTypeCode;MATURATION_SECONDARY;Maturation-Secondary;Maturation-Secondary;Maturation-Secondaire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode;ContainerShapeCode;;;;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode:AMERICAN_STANDARD_BARREL_ASB;ContainerShapeCode;AMERICAN_STANDARD_BARREL_ASB;American Standard Barrel (Asb);American Standard Barrel (Asb);Baril standard américain (Asb);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode:BARRACOON_BARRACK;ContainerShapeCode;BARRACOON_BARRACK;Barracoon/Barrack;Barracoon/Barrack;Barracoon/Caserne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode:BARRIQUE_BORDEAUX;ContainerShapeCode;BARRIQUE_BORDEAUX;Barrique (Bordeaux);Barrique (Bordeaux);Barrique (Bordeaux);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode:BARRIQUE_COGNAC;ContainerShapeCode;BARRIQUE_COGNAC;Barrique (Cognac);Barrique (Cognac);Barrique (Cognac);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:ContainerShapeCode:BLOOD_TUB;ContainerShapeCode;BLOOD_TUB;Blood Tub;Blood Tub;Bac à sang;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
