COLUMNS;id;cm:name;bcpg:legalName;bcpg:legalName_en;hierarchy1;hierarchy2;bcpg:suppliers;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL31106;Barre céréalière chocolatée, CIQUAL;Barre céréalière chocolatée;Chocolate cereal bar;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;164;55,7;146;262;112;0,6;3,1;0,28;1,13;< 5;4;6,27;6,27;65,7;30,8;1860;442;34,8;1860;442;0,0487;3,27;6,22;16,4;7,97;4,92;2,28;0;11;0,62;1,45;< 0,5;0,58;0,56;6,8;0,33;0,81;0,31;74;0;0;3,3
VALUES;CIQUAL31104;Barre céréalière diététique hypocalorique, CIQUAL;Barre céréalière diététique hypocalorique;Dietary calorie cereal bar;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;46,7;104;350;625;285;575;6,47;565;5,8;25,5;53,2;27;27;33,4;11,5;1570;374;16,5;1570;374;5,42;4,07;9,5;12,4;333;733;0,2;0;0;2,4;4,68;25,5;552;665;8,47;2,14;0,85;711;94,7;0;0;0
VALUES;CIQUAL32133;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux, CIQUAL;Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;Corn balls blown honey, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;310;20;150;100;253;0;7,78;0;433;0;3;5;5;86,7;32,8;1640;386;53,8;1640;386;0;2,02;3;1,63;359;0,56;642;0;0;traces;0,07;0;1,2;1,3;15;5;1,7;0,84;167;0;0;0
VALUES;CIQUAL32022;"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux, CIQUAL";"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";"Breakfast cereals ""balance"" chocolate enriched with vitamins and minerals";CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;314;53,8;183;245;65;0,6;10,8;342;1,5;2;40;11,8;11,8;72,1;25,6;1690;401;46,4;1690;401;0;3,42;4,16;6,47;3,94;2,2;314;0;0;traces;2;81;1,85;2,1;23,7;2,6;2,62;1,31;264;0;0;traces
VALUES;CIQUAL32023;"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux, CIQUAL";"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";"Breakfast cereals ""balance"" fruit, rich in vitamins and minerals";CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;489;58,3;203;237;56,8;1,6;10,6;0;1,5;15;20;14;14;73,4;23,6;1620;383;47,6;1620;383;0;4,44;3;2,7;1,48;245;241;0;0;traces;2;90;2,1;2,4;26,9;0,6;2,98;1,49;299;0;0;traces
VALUES;CIQUAL32021;"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux, CIQUAL";"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";"Breakfast cereals ""equilibrium"" nature, enriched with vitamins and minerals";CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;557;47,5;195;222;60;0;15,4;0;1,5;0;5;12,7;12,7;78,3;17;1620;382;59,5;1620;382;0;2,83;2,81;1,33;367;0,25;0,6;0;0;traces;2;100;2,3;2,7;30;2,6;3,3;1,68;333;0;0;0
VALUES;CIQUAL32003;Céréales pour petit déjeuner (aliment moyen), CIQUAL;Céréales pour petit déjeuner (aliment moyen);Breakfast cereals (average food);CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;441;30,5;94,1;262;201;331;7,75;195;734;1,47;8,87;6,16;6,16;81,8;27;1660;391;49,5;1660;391;0;2,94;3,35;3,69;1,63;1,18;644;0;5,38;174;761;43,4;1,27;1,42;16,1;4,75;1,8;901;185;0;0;0,3
VALUES;CIQUAL32001;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux, CIQUAL;Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;Breakfast Cereals Chocolate, not filled, enriched with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;442;30,3;85;338;< 453;467;7,3;203;702;< 2,2;8;4,17;4,17;83,2;31;1660;391;43;1660;391;0;3;3,53;4;2,15;1,24;447;0;0;0;traces;52,9;1,13;1,27;14,3;5;1,6;0,8;160;0;0;0
VALUES;CIQUAL32016;Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux, CIQUAL;Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;Breakfast cereals filled with chocolate or chocolate hazelnut, enriched with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;221;58,8;199;344;153;0,6;7,2;0,28;1,4;2;40;8,43;8,43;67,2;30,1;1850;439;36,5;1850;439;0;4,04;3,6;14,3;4,99;5,41;3,07;0;0;0;6,2;0;1,08;1,19;13,6;5;1,52;761;151;0;0;3
VALUES;CIQUAL32018;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux, CIQUAL;Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;Breakfast cereals lined, fodder other than chocolate, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;170;20;200;270;155;1,38;5,2;342;1,4;3;7;5,66;5,66;64,9;26,8;1780;423;38,1;1780;423;0;5;8,6;14,5;1,6;3,79;1,03;0;0;traces;6,2;0;0,87;1;11;1,2;1,4;0,62;125;0;0;1
VALUES;CIQUAL32002;Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux, CIQUAL;Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux;Breakfast cereals rich in fiber, rich in vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;636;132;403;600;42;0;9,64;4,98;2,92;16,3;5;10,5;10,5;64,2;23,4;1530;362;38;1530;362;0;15;3,66;3,7;1,64;0,66;0,98;0;0;0;6,3;37,5;1,06;1,16;12,7;3,85;1,5;747;225;0;0;0
VALUES;CIQUAL9313;Flocons d'avoine, cuits à l'eau, CIQUAL;Flocons d'avoine, cuits à l'eau;Oatmeal, boiled;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;560;18;47;46;7;0,58;0,5;74;1;0;0,3;1,5;1,61;11,5;455;277;65,7;8,2;275;65,3;0;1,68;83,9;1,1;251;352;453;0;0;0;0,21;0;0,06;0,01;0,1;0,1;0,01;0;4;0;0;0
VALUES;CIQUAL32000;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux, CIQUAL;Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;Puffed wheat grain honey or caramel, enriched with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;85,3;41,7;180;206;243;728;7,63;169;1,06;< 2,2;8;6,5;6,5;84,2;43;1650;389;39;1650;389;0;3,91;2;2,08;627;649;717;0;0;0;2;0;1,2;1,3;15;5;1,7;837;168;0;0;0
VALUES;CIQUAL32115;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux, CIQUAL;Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;Wheat grain chocolate soufflés, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;114;80;220;400;267;0,5;7,45;0,2;2;1;8;8,82;8,82;75,5;44,5;1640;389;30,9;1640;389;0;6,57;2,66;4,29;1,43;746;815;0;0;traces;2;0;1,2;1,3;15;5;1,7;0,84;168;0;0;traces
VALUES;CIQUAL32004;Muesli (aliment moyen), CIQUAL;Muesli (aliment moyen);Muesli (average food);CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;223;63,6;182;316;54,5;2,16;6,26;408;1,3;9,09;43,9;7,81;7,81;61,5;27,7;1890;451;31,9;1890;451;0;7,76;3,65;17,6;9,05;5,29;2,24;0;0;0,25;2,08;43,3;991;1,11;12,2;4,41;1,4;709;138;0;0;5,6
VALUES;CIQUAL32112;Muesli croustillant au chocolat, enrichi en vitamines et minéraux, CIQUAL;Muesli croustillant au chocolat, enrichi en vitamines et minéraux;Crunchy muesli with chocolate, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;214;69,8;204;271;56,4;2,3;6,1;0,45;1,4;2;2;8,5;8,5;61,6;24;1900;453;34,4;1900;453;0;7,98;2,76;17,4;9,4;4,25;1,99;0;0;< 0,5;1,93;< 51;914;0,96;10,5;2,81;1,28;608;124;0;0;10,6
VALUES;CIQUAL32111;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux, CIQUAL;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;Crunchy muesli with fruit or nuts, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;226;60,9;173;336;53,6;2,1;6,32;0,39;1,25;12,2;62;7,51;7,51;61,5;29,3;1890;451;30,8;1890;451;0;7,67;4,03;17,7;8,89;5,75;2,35;0;0;< 0,5;2,15;51;1,03;1,18;13;5,1;1,45;752;144;0;0;3,42
VALUES;CIQUAL32110;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux, CIQUAL;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;Muesli flaky fruit or dried fruit, rich in vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;237;80;290;490;60;2,18;5,65;4,49;1,5;4,16;2,96;9;9;69,4;24;1580;374;44;1580;374;0;6,5;7,87;5,28;1,71;1,99;1,24;0;0;0;1,98;0;0,85;0,95;10,7;4,6;1,2;605;118;0;0;1,05
VALUES;CIQUAL32113;Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté, CIQUAL;Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté;Muesli flaky fruit or dried fruit with no added sugar;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;68,8;74,5;315;460;143;1,61;3,2;386;1,86;< 17,7;2;11,3;11,3;61,8;16;1590;378;45,8;1590;378;0;8,35;9,18;7,63;1,05;3,42;2,85;0;< 8;< 0,5;4,6;< 0,5;673;282;2,1;0,6;1,08;< 0,08;96,7;0;0;0
VALUES;CIQUAL32135;Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux, CIQUAL;Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux;Multi-blown or extruded cereals, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;375;60;190;230;252;0;6,95;0;1;12;5;7,5;7,5;75;28,5;1750;415;45,6;1750;415;0;3,27;3;8,75;3,1;3,08;1,1;0;0;traces;0,5;51;1,05;1,15;13,2;5,1;1,5;0,75;208;0;0;0
VALUES;CIQUAL32123;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux, CIQUAL;Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;Wheat flakes with nuts, hazelnuts or almonds, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;633;95;278;375;116;1,6;8,9;0,4;1,95;13,8;5;10,4;10,4;67,3;20,8;1640;389;46,4;1640;389;0;8,54;5;6,74;633;3,58;2,52;0;0;traces;3,1;51;1;1,13;12,6;4,45;1,43;717;140;0;0;0
VALUES;CIQUAL32009;Pétales de blé chocolatés, enrichis en vitamines et minéraux, CIQUAL;Pétales de blé chocolatés, enrichis en vitamines et minéraux;Wheat flakes chocolate, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;217;55;145;499;328;0,7;7,7;0,2;1;12;5;4,5;4,5;83,7;37;1650;390;43,3;1650;390;0;4,44;2,35;3,12;1,87;1,02;101;0;0;traces;1;51;1,2;1,3;15;5;1,7;0,84;168;0;0;0
VALUES;CIQUAL32121;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux, CIQUAL;Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;Corn flakes glazed with sugar, enriched with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;470;13,3;36,7;77,5;343;0,11;7,74;436;0,3;3,1;2,95;6;6;85,5;37,2;1620;381;48,2;1620;381;0;2,13;3,3;1,16;0,22;0,2;0,3;0;0;0;0,02;0;1,2;1,3;15;5;1,7;842;201;0;0;0
VALUES;CIQUAL32005;Pétales de maïs natures, enrichis en vitamines et minéraux, CIQUAL;Pétales de maïs natures, enrichis en vitamines et minéraux;Cornflakes natures, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;449;19,4;50;145;100;143;4,09;0,0306;329;2;2,95;7,5;7,5;83,7;8;1600;378;74,5;1600;378;0;2,95;2,98;764;135;0,17;346;0;37;1,2;0,25;34;1,2;1,3;15;5;1,7;837;168;0;0;368
VALUES;CIQUAL32131;Riz soufflé au chocolat, enrichi en vitamines et minéraux, CIQUAL;Riz soufflé au chocolat, enrichi en vitamines et minéraux;Puffed rice with chocolate, fortified with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;270;51;118;310;346;0,7;7,44;0,27;967;0;2;5,26;5,26;83,7;34,8;1670;395;47,5;1670;395;0;2,68;2,78;3,8;1,65;1,52;0,48;0;0;< 0,5;5,6;51;1,34;1,46;15,2;4,2;1,75;0,84;169;0;0;0
VALUES;CIQUAL32006;Riz soufflé nature, enrichi en vitamines et minéraux, CIQUAL;Riz soufflé nature, enrichi en vitamines et minéraux;Nature of puffed rice, enriched with vitamins and minerals;CIQUAL;Céréales petit déjeuner et barres céréalières;Table Ciqual 2012;450;45;145;155;9,75;0,7;6,65;< 0,1;1;9,2;2;6,68;7,02;86,3;8,2;1640;387;77;1640;385;0;1,18;2,24;1,23;237;473;473;0;0;< 0,5;0,16;0;1,4;1,29;15,1;0,64;2,06;843;170;0;0;0
VALUES;CIQUAL8504;Andouille, réchauffée à la poêle, CIQUAL;Andouille, réchauffée à la poêle;Andouille, warmed in a pan;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1130;12,2;150;104;18;< 0,1;2,4;0,2;3,4;24;24;22,5;22,5;0;0;1130;271;0;1130;271;0;0;55,5;20;9,36;7,73;2,07;11;16;< 0,5;0,48;< 1;56;0,28;1,55;0,48;0,12;1,35;< 20;0;0;330
VALUES;CIQUAL8551;Andouillette, poêlée, CIQUAL;Andouillette, poêlée;Sausage, fried;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1090;9,6;98,3;64;35,6;< 0,1;2,3;0,2;4,3;19;15;24,5;24,5;1;< 0,2;1150;277;< 1;1150;277;0;0;48,7;19,3;8,66;7,36;2,5;52;< 30;< 0,5;0,41;< 1;35;0,15;0,96;0,24;0,09;0,91;< 20;0;0;344
VALUES;CIQUAL8800;Boudin blanc, poêlé, CIQUAL;Boudin blanc, poêlé;White pudding, fried;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;683;13;134;151;48,9;< 0,1;1,18;< 0,1;1,1;< 5;35,1;10,1;10,1;5,63;0;957;231;1,83;957;231;0;0;61,4;18,1;7,9;6,99;2,25;14;0;605;455;< 0,5;159;0,14;1,87;0,38;105;0,54;20,7;0;0;61,4
VALUES;CIQUAL8704;Boudin noir, poêlé, CIQUAL;Boudin noir, poêlé;Black pudding, fried;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;749;8,5;27,2;155;27,2;< 0,1;22,8;< 0,1;0,7;11;40;14,8;14,8;1,8;1,29;1100;266;0,5;1100;266;0;0;53,9;21,6;11,5;7,35;1,96;7;< 80;0,75;0,11;0;52;62;0,53;< 0,16;94;0,2;25,4;0;0;73,8
VALUES;CIQUAL30730;Cervelas, CIQUAL;Cervelas;Sausage;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;822;20,4;197;187;32,6;< 0,1;0,5;0,11;1;< 5;37,9;12;12;1,3;0;1210;293;0;1210;293;0;0;61,1;26,5;10,4;10,3;3,3;3;0;< 0,5;0,56;18,1;214;108;3,43;0,43;169;613;32,9;0;0;66,8
VALUES;CIQUAL30900;Charcuterie (aliment moyen), CIQUAL;Charcuterie (aliment moyen);Delicatessen (average food);CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1070;24,9;163;330;11,3;0,0471;1,66;162;1,93;8,71;10,4;17,6;17,6;1,87;772;957;230;0,69;957;230;0;0;59,6;16,9;5,66;8,34;1,93;602;0;579;318;5,09;509;324;5,83;0,56;314;1,64;41,1;0;0;79,5
VALUES;CIQUAL30005;Chipolata, cuite, CIQUAL;Chipolata, cuite;Chipolata, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;855;28,1;0;507;11,8;0,0337;1,27;0,0723;2,61;< 10;0;19;19;8,38;0;1410;338;0;1410;338;0;0;45,8;25,4;9,2;10,8;2,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;CIQUAL30315;Chorizo, CIQUAL;Chorizo;Chorizo;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1730;27,5;253;479;35,8;< 1;2,8;< 1;2,3;4,9;< 10;21,1;21,1;3,5;1,15;1980;477;0;1980;477;0;0;26,3;42,1;14,6;18,4;3,46;< 2;663;< 0,2;1,4;0;0,47;0,26;4,6;0,94;0,32;0,93;6,2;0;0;108
VALUES;CIQUAL8110;Confit de canard, CIQUAL;Confit de canard;Duck confit;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;944;17,5;139;321;9,6;< 0,1;2,4;< 0,1;5,7;28;17;30,7;30,7;0;0;914;218;0;914;218;0;0;57,3;10,5;4,8;3,67;1,62;21;< 30;1,8;0,46;< 1;56;336;7,1;0,74;0,3;2,95;< 20;0;0;132
VALUES;CIQUAL28850;Coppa, CIQUAL;Coppa;Coppa;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1500;41,5;195;469;39,3;< 0,1;1,1;0,1;3,5;10;13,5;23,9;23,9;0,2;0,2;968;232;0;968;232;0;0;51,9;15,1;2,94;7,7;3,81;5;0;1,27;975;19,1;945;247;6,8;1,46;0,38;1,64;31,1;0;0;92,3
VALUES;CIQUAL28727;Filet de bacon, cuit, CIQUAL;Filet de bacon, cuit;Fillet of bacon, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1260;0;0;0;0;0;0;0;0;0;11;23;23;0,7;0;488;116;0;488;116;0;0;68,2;2,3;887;0,89;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;CIQUAL8322;Foie gras de canard, entier, appertisé, CIQUAL;Foie gras de canard, entier, appertisé;Foie gras, whole, canned;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;409;0;0;0;0;0;0;0;0;0;0;6,9;6,9;1,6;0;2000;485;0;2000;485;0;0;36,5;50,1;22,9;24,5;763;5400;0;0;0;31;0;0;0;0;0;0;0;0;0;1040
VALUES;CIQUAL8320;Foie gras, appertisé, CIQUAL;Foie gras, appertisé;Foie gras, canned;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;493;9,02;109;133;4,35;107;4,48;876;1,19;< 19,5;2;9;9;0,85;0;2110;511;0;2110;511;0;0;36,1;52,4;21,1;28,3;882;1430;0;2,75;2,4;14,7;103;567;5,8;2,15;0,95;4,55;354;0;0;395
VALUES;CIQUAL8400;Fromage de tête, CIQUAL;Fromage de tête;Headcheese;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;830;9;80;69;13,1;0,02;1,23;111;1,23;7,4;2,1;14,7;14,7;0,2;< 0,3;697;168;0;697;168;0;0;66,5;12;4,19;5,94;1,38;0;0;835;0,08;0;256;108;0,77;0,9;0,14;775;2,5;0;0;61
VALUES;CIQUAL8350;Galantine, CIQUAL;Galantine;Galantine;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;810;0;0;0;0;0;0;0;0;0;2;15,9;15,9;6,52;0;996;239;0;996;239;0;0,5;58,4;16,5;5,83;6,95;2,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;CIQUAL28800;Jambon cru, CIQUAL;Jambon cru;Ham;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;2080;36,2;228;556;10,4;0,0121;969;79;2,37;< 14,3;1,2;21,1;21,1;0,45;< 0,9;966;232;0;966;232;0;0;51,4;16,2;5,74;7,38;1,83;0;0;< 0,6;212;13;569;213;8,42;0;436;497;< 2,2;0;0;72,2
VALUES;CIQUAL28801;Jambon cru, fumé, CIQUAL;Jambon cru, fumé;Ham, smoked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1990;20;275;256;5,16;< 0,1;0,9;< 0,1;0,28;24,2;< 5;24;24;0,1;0;939;225;0;939;225;0;0;52,6;14,3;5,2;6,37;2,12;0;0;< 0,5;0,03;13;0,41;0,19;3,4;0,6;0,4;1;1,5;0;0;48
VALUES;CIQUAL28916;Jambon cuit, CIQUAL;Jambon cuit;Ham;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;829;28,1;136;359;7,14;< 0,01;838;0,0614;1,89;8,2;13,9;17,9;17,9;1,26;1,26;508;121;0;508;121;0;0;73;4,93;399;3,44;893;1,5;0;625;0,08;2,96;0,65;247;4,88;662;277;764;3,1;0;0;43
VALUES;CIQUAL28900;Jambon cuit supérieur, CIQUAL;Jambon cuit supérieur;Ham higher;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;716;22,5;192;409;< 20;< 0,2;< 0,7;< 0,4;2;10,3;0;21,1;21,1;0,6;< 0,2;481;114;0;481;114;0;0;73,4;3,02;885;1,12;0,34;0;0;< 0,25;135;0;375;202;5,72;403;297;405;< 2;0;0;60,4
VALUES;CIQUAL28906;Jambon cuit supérieur, DD, CIQUAL;Jambon cuit supérieur, DD;Ham higher DD;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;745;20,9;411;305;7,2;traces;0,9;0,06;2,12;11;6;20,9;20,9;425;< 1;479;114;0;479;114;0;0;73,1;3,15;1,08;1,36;404;traces;0;0,7;0,17;0;0,77;0,2;5,8;697;0,4;315;1,28;0;0;49,3
VALUES;CIQUAL28925;Jambon cuit, de Paris, DD, CIQUAL;Jambon cuit, de Paris, DD;Cooked ham, Paris, DD;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;64,3;26,3;426;358;7;0,0323;1,12;108;3,24;23,4;< 5;18;18;1,8;0,55;452;107;0;452;107;0;0;73,2;3,12;876;1,78;339;2,67;0;< 0,5;0,2;11,2;709;0,35;4,91;672;416;727;16;0;0;39,8
VALUES;CIQUAL28803;Jambon cuit, fumé, CIQUAL;Jambon cuit, fumé;Ham, smoked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1890;23,5;457;434;4,3;< 0,1;1,84;77;4,35;140;< 5;19;19;0,45;367;426;101;0;426;101;0;0;71,7;2,59;641;1,44;407;0;0;314;0,09;0;647;168;6,95;415;455;0,28;17,4;0;0;34,1
VALUES;CIQUAL28962;Jambon de volaille, CIQUAL;Jambon de volaille;Ham poultry;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;730;24,6;434;391;10;< 0,1;0,3;< 0,1;0,8;< 5;10,5;21,4;21,4;0,5;462;451;107;0;451;107;0;0;72,7;2,14;722;819;514;4;0;< 0,5;255;10;45;118;9,7;1,31;489;0,35;27;0;0;54,8
VALUES;CIQUAL8395;Jambon en croûte, CIQUAL;Jambon en croûte;Ham crust;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;727;19,5;148;280;21,3;0,0524;956;0,0628;1,28;6,72;6,12;14,5;14,5;14,8;1,58;1030;246;13,2;1030;246;0;0,6;52,2;14,2;4,46;5,67;1,34;54;34,5;464;1,03;7,21;503;162;3,34;378;231;0,26;4,14;0;0;48,4
VALUES;CIQUAL28802;Jambon sec, découenné, dégraissé, CIQUAL;Jambon sec, découenné, dégraissé;Ham, skinless, trimmed;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;2430;25,5;235;437;16,3;traces;1,06;0,08;2,38;0;1,2;26,6;26,6;1,77;0,3;818;195;0;818;195;0;0;54,8;9,07;3,29;4,31;1,1;traces;0;0;0;0;1,2;0,3;8,7;0;0,6;0,5;1,51;0;0;66,2
VALUES;CIQUAL28960;Jambonneau, cuit, CIQUAL;Jambonneau, cuit;Ham, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;910;0;429;0;0;0;0;0;0;0;0;20,6;20,6;1,1;757;606;144;0;606;144;0;0;72,2;6,41;1,96;2,48;798;0;0;0;0;0;397;1,81;4,2;0;294;0,32;0;0;0;0
VALUES;CIQUAL28720;Lardon fumé, cru, CIQUAL;Lardon fumé, cru;Smoked bacon, raw;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1290;23,8;249;596;18,2;< 0,1;0,8;< 0,1;1,2;< 8;11,1;16,4;16,4;0,6;0,46;1100;264;0;1100;264;0;0;57,6;21,8;8,25;9,67;2,63;< 2;0;< 16,4;253;0,9;306;0,11;4,92;435;245;559;21,1;0;0;59,4
VALUES;CIQUAL28725;Lardon fumé, cuit, CIQUAL;Lardon fumé, cuit;Smoked bacon, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1040;21;296;428;10;27;0,82;54;1,7;0;0;14,7;14,7;traces;0;1070;258;0,5;1070;258;0;0;61,7;22,1;2,84;4,04;0,81;0;0;1,1;0;0;427;197;6,92;0,52;0,45;0,78;4;0;0;55,5
VALUES;CIQUAL28501;Lardon nature, cru, CIQUAL;Lardon nature, cru;Lardon nature, raw;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1230;15,6;328;540;< 20;< 0,2;< 0,5;205;1,67;5,77;0,9;15,4;15,4;0,4;0,4;1100;266;0;1100;266;0;0;55,4;22,5;8,51;9,72;2,74;1;0;16,4;303;633;274;194;4,87;352;207;511;< 2;0;0;60,7
VALUES;CIQUAL28504;Lardon nature, cuit, CIQUAL;Lardon nature, cuit;Lardon plain, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;1650;22;156;572;7,5;< 0,1;0,5;< 0,1;2,1;12;12;23,8;23,8;2;0;1370;329;0;1370;329;0;0;45;25,1;11,1;9,02;2,89;< 2;< 4;< 0,5;0,24;0;0,59;0,16;6,9;0,8;0,42;0,67;< 16;0;0;80,6
VALUES;CIQUAL30155;Merguez, boeuf et mouton, cuite, CIQUAL;Merguez, boeuf et mouton, cuite;Sausages, beef and mutton, cooked;CIQUAL;Charcuteries et salaisons;Table Ciqual 2012;925;22,6;128;549;35,9;0,0403;2,01;< 0,131;3,23;5;25;19,8;19,8;215;1,6;1180;284;< 1;1180;284;0;0;52,4;22,6;11,2;9,49;967;23;560;< 0,5;1,7;< 1;59;0,2;4,7;0,26;0,24;1,45;< 20;0;0;71,4
