"PATH";"/Temp/PF";;;;
"TYPE";"bcpg:finishedProduct";;;;
"MAPPING";"Ciqual";;;;
"COLUMNS";"bcpg:code";"cm:name";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en";"bcpg:productHierarchy1";"bcpg:productHierarchy2"
"VALUES";"PF25067";"Osso buco à la milanaise";"Osso buco à la milanaise";"Osso buco à la milanaise";"Veal osso buco";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25071";"Potée auvergnate";"Potée auvergnate";"Potée auvergnate";"Stew of sausages with cabbage and root vegetables";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25080";"Cannelloni à la viande";"Cannelloni à la viande";"Cannelloni à la viande";"Cannelloni, meat";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25081";"Lasagne à la bolognaise";"Lasagne à la bolognaise";"Lasagne à la bolognaise";"Lasagne with bolognese sauce";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25085";"Pâtes à la bolognaise (spaghetti, tagliatelles)";"Pâtes à la bolognaise (spaghetti, tagliatelles)";"Pâtes à la bolognaise (spaghetti, tagliatelles)";"Pasta with bolognese sauce";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25088";"Riz cantonnais";"Riz cantonnais";"Riz cantonnais";"Rice, fried, Canton style";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25089";"Cordon bleu de volaille";"Cordon bleu de volaille";"Cordon bleu de volaille";"Poultry filled with cheese and ham";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25092";"Poulet basquaise au riz";"Poulet basquaise au riz";"Poulet basquaise au riz";"Chicken, Basque style, with rice";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25093";"Poulet basquaise aux pâtes";"Poulet basquaise aux pâtes";"Poulet basquaise aux pâtes";"Chicken, Basque style, with pasta";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25103";"Tomate farcie";"Tomate farcie";"Tomate farcie";"Stuffed tomatoes";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25108";"Samossas ou samoussas";"Samossas ou samoussas";"Samossas ou samoussas";"Samosas";"Plats composés";"Plats composés"
"VALUES";"PF25109";"Spaghetti, sauce tomate";"Spaghetti, sauce tomate";"Spaghetti, sauce tomate";"Spaghetti with tomato sauce";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25111";"Chili con carne";"Chili con carne";"Chili con carne";"Chili con carne";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25116";"Poulet au curry, avec riz ou semoule, préemballé";"Poulet au curry, avec riz ou semoule, préemballé";"Poulet au curry, avec riz ou semoule, préemballé";"Chicken curry, with rice";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25121";"Coq au vin";"Coq au vin";"Coq au vin";"Coq au vin";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25122";"Gratin de pâtes";"Gratin de pâtes";"Gratin de pâtes";"Pasta au gratin";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25123";"Moussaka";"Moussaka";"Moussaka";"Moussaka";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25124";"Navarin d'agneau";"Navarin d'agneau";"Navarin d'agneau";"Lamb navarin";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25125";"Paupiette de veau";"Paupiette de veau";"Paupiette de veau";"Veal paupiette";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25126";"Paupiette de volaille";"Paupiette de volaille";"Paupiette de volaille";"Poultry paupiette";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25127";"Couscous royal à la viande";"Couscous royal à la viande";"Couscous royal à la viande";"Couscous with mutton and beef";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25130";"Gratin d'endives et jambon";"Gratin d'endives et jambon";"Gratin d'endives et jambon";"Witlof and ham au gratin";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25135";"Pâtes à la carbonara";"Pâtes à la carbonara";"Pâtes à la carbonara";"Pasta with carbonara sauce";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25137";"Tartiflette";"Tartiflette";"Tartiflette";"Tartiflette";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25138";"Couscous au poulet";"Couscous au poulet";"Couscous au poulet";"Couscous with chicken";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25144";"Poisson à la provençale et riz";"Poisson à la provençale et riz";"Poisson à la provençale et riz";"Fish with tomato sauce and rice";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25146";"Poisson sauce oseille";"Poisson sauce oseille";"Poisson sauce oseille";"Fish in sorrel sauce";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25151";"Feuilleté au saumon";"Feuilleté au saumon";"Feuilleté au saumon";"Salmon in puff pastry";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25156";"Ravioli au fromage, cuit";"Ravioli au fromage, cuit";"Ravioli au fromage, cuit";"Ravioli with cheese, cooked";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25159";"Tajine de mouton";"Tajine de mouton";"Tajine de mouton";"Mutton tajine";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25162";"Gratin de légumes";"Gratin de légumes";"Gratin de légumes";"Vegetables au gratin";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25163";"Bœuf, boulettes cuites";"Bœuf, boulettes cuites";"Bœuf, boulettes cuites";"Beef, meat balls, cooked";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25172";"Viande en sauce (aliment moyen)";"Viande en sauce (aliment moyen)";"Viande en sauce (aliment moyen)";"Meat in sauce (average)";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25173";"Veau, escalope panée, cuite";"Veau, escalope panée, cuite";"Veau, escalope panée, cuite";"Veal cutlet, breaded, cooked";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25174";"Poulet au curry";"Poulet au curry";"Poulet au curry";"Chicken curry";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25400";"Croque-monsieur";"Croque-monsieur";"Croque-monsieur";"Grilled cheese & ham sandwich";"Sandwichs";"Sandwichs"
"VALUES";"PF25401";"Friand au fromage";"Friand au fromage";"Friand au fromage";"Puff pastry with cheese";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25402";"Friand à la viande";"Friand à la viande";"Friand à la viande";"Pastry filled with paté";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25403";"Hot-dog";"Hot-dog";"Hot-dog";"Hot-dog";"Sandwichs";"Sandwichs"
"VALUES";"PF25404";"Pizza fromage";"Pizza fromage";"Pizza fromage";"Pizza, tomato and cheese";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25405";"Quiche lorraine";"Quiche lorraine";"Quiche lorraine";"Quiche lorraine";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25409";"Crêpe fourrée béchamel jambon";"Crêpe fourrée béchamel jambon";"Crêpe fourrée béchamel jambon";"Crepe, stuffed with ham";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25410";"Crêpe fourrée béchamel jambon fromage";"Crêpe fourrée béchamel jambon fromage";"Crêpe fourrée béchamel jambon fromage";"Crepe, stuffed with ham and cheese";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25412";"Bouchée à la reine, au poulet";"Bouchée à la reine, au poulet";"Bouchée à la reine, au poulet";"Vol-au-vent with chicken";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25413";"Hamburger";"Hamburger";"Hamburger";"Hamburger, regular, fast foods restaurant";"Sandwichs";"Sandwichs"
"VALUES";"PF25414";"Cheeseburger";"Cheeseburger";"Cheeseburger";"Cheeseburger, fast foods restaurant";"Sandwichs";"Sandwichs"
"VALUES";"PF25415";"Double cheeseburger";"Double cheeseburger";"Double cheeseburger";"Cheeseburger, double, fast foods restaurant";"Sandwichs";"Sandwichs"
"VALUES";"PF25417";"Tarte aux légumes";"Tarte aux légumes";"Tarte aux légumes";"Vegetable quiche, from delicatessen or bakery";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25418";"Croissant au jambon";"Croissant au jambon";"Croissant au jambon";"Croissant with ham, from bakery";"Sandwichs";"Sandwichs"
"VALUES";"PF25419";"Rouleau de printemps";"Rouleau de printemps";"Rouleau de printemps";"Summer roll";"Plats composés";"Plats composés"
"VALUES";"PF25420";"Nem ou Pâté impérial";"Nem ou Pâté impérial";"Nem ou Pâté impérial";"Egg roll or Nem";"Plats composés";"Plats composés"
"VALUES";"PF25422";"Sandwich baguette, merguez frites";"Sandwich baguette, merguez frites";"Sandwich baguette, merguez frites";"Sandwich on french bread, sausage-chips (french fries)";"Sandwichs";"Sandwichs"
"VALUES";"PF25428";"Sandwich grec ou Döner kebap, pita, avec crudités";"Sandwich grec ou Döner kebap, pita, avec crudités";"Sandwich grec ou Döner kebap, pita, avec crudités";"Sandwich on pita bread, gyros or kebab, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25429";"Sandwich grec ou Kebab, baguette, avec crudités";"Sandwich grec ou Kebab, baguette, avec crudités";"Sandwich grec ou Kebab, baguette, avec crudités";"Sandwich on french bread, gyros or kebab, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25431";"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise";"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise";"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise";"Sandwich on french bread, tuna, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25433";"Accra de morue";"Accra de morue";"Accra de morue";"Cod fritters";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25434";"Sandwich panini, jambon cru, mozzarella, tomates";"Sandwich panini, jambon cru, mozzarella, tomates";"Sandwich panini, jambon cru, mozzarella, tomates";"Sandwich on panini bread, raw ham, mozarella and tomatoes";"Sandwichs";"Sandwichs"
"VALUES";"PF25435";"Pizza jambon fromage";"Pizza jambon fromage";"Pizza jambon fromage";"Pizza, ham and cheese";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25437";"Gougère, faite maison";"Gougère, faite maison";"Gougère, faite maison";"Cheese chou-pastry puff";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25438";"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson,…)";"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson,…)";"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson,…)";"Brik pastry, filled (vegetables, shrimp or meat)";"Plats composés";"Plats composés"
"VALUES";"PF25444";"Tarte au fromage";"Tarte au fromage";"Tarte au fromage";"Cheese and egg quiche";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25472";"Pizza 4 saisons";"Pizza 4 saisons";"Pizza 4 saisons";"Pizza, 4 seasons";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25475";"Sandwich baguette, jambon, œuf dur, crudités (tomate, salade), beurre";"Sandwich baguette, jambon, œuf dur, crudités (tomate, salade), beurre";"Sandwich baguette, jambon, œuf dur, crudités (tomate, salade), beurre";"Sandwich on french bread, ham, egg, tomato, lettuce, butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25476";"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise";"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise";"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise";"Sandwich on french bread, chicken, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25478";"Pizza 4 fromages";"Pizza 4 fromages";"Pizza 4 fromages";"Pizza, 4 cheese";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25488";"Sandwich baguette, saumon fumé, beurre";"Sandwich baguette, saumon fumé, beurre";"Sandwich baguette, saumon fumé, beurre";"Sandwich on french bread, smoked salmon and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25503";"Bouchée à la reine, au poisson et fruits de mer";"Bouchée à la reine, au poisson et fruits de mer";"Bouchée à la reine, au poisson et fruits de mer";"Vol-au-vent with seafood";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25504";"Brochette de volaille";"Brochette de volaille";"Brochette de volaille";"Kebab, poultry";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25505";"Brochette de bœuf";"Brochette de bœuf";"Brochette de bœuf";"Kebab, beef";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25506";"Brochette mixte de viande";"Brochette mixte de viande";"Brochette mixte de viande";"Kebab, mixed meat";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25508";"Feuilleté fourré béchamel jambon fromage";"Feuilleté fourré béchamel jambon fromage";"Feuilleté fourré béchamel jambon fromage";"Puff pastry with ham, cheese and becamel sauce";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25509";"Fondue savoyarde";"Fondue savoyarde";"Fondue savoyarde";"Cheese fondu";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25511";"Légumes farcis (sauf tomate)";"Légumes farcis (sauf tomate)";"Légumes farcis (sauf tomate)";"Stuffed vegetables (excluding tomato)";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25512";"Nuggets de volaille";"Nuggets de volaille";"Nuggets de volaille";"Chicken nuggets";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25513";"Pan bagna";"Pan bagna";"Pan bagna";"Sandwich, tuna and vegetable";"Sandwichs";"Sandwichs"
"VALUES";"PF25515";"Pizza "spéciale"";"Pizza "spéciale"";"Pizza ''spéciale''";"Pizza, various toppings";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25516";"Pizza (aliment moyen)";"Pizza (aliment moyen)";"Pizza (aliment moyen)";"Pizza (average)";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25517";"Sandwich baguette, jambon, beurre";"Sandwich baguette, jambon, beurre";"Sandwich baguette, jambon, beurre";"Sandwich on french bread, ham and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25518";"Sandwich baguette, camembert, beurre";"Sandwich baguette, camembert, beurre";"Sandwich baguette, camembert, beurre";"Sandwich on french bread, camembert and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25519";"Sandwich baguette, pâté, cornichons";"Sandwich baguette, pâté, cornichons";"Sandwich baguette, pâté, cornichons";"Sandwich on french bread, paté and pickles";"Sandwichs";"Sandwichs"
"VALUES";"PF25520";"Sandwich baguette, saucisson sec, beurre";"Sandwich baguette, saucisson sec, beurre";"Sandwich baguette, saucisson sec, beurre";"Sandwich on french bread, dry sausage and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25521";"Sandwich baguette, jambon, emmental, beurre";"Sandwich baguette, jambon, emmental, beurre";"Sandwich baguette, jambon, emmental, beurre";"Sandwich on french bread, emmental cheese and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25522";"Sandwich (aliment moyen)";"Sandwich (aliment moyen)";"Sandwich (aliment moyen)";"Sandwich (average)";"Sandwichs";"Sandwichs"
"VALUES";"PF25523";"Toasts salés, garnitures diverses";"Toasts salés, garnitures diverses";"Toasts salés, garnitures diverses";"Canapés (toasts with various toppings)";"Plats composés";"Plats composés"
"VALUES";"PF25524";"Tomates provençales";"Tomates provençales";"Tomates provençales";"Tomatoes, grilled with garlic breadcrumbs";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25526";"Pizza jambon fromage champignons ou Pizza royale, surgelée";"Pizza jambon fromage champignons ou Pizza royale, surgelée";"Pizza jambon fromage champignons ou Pizza royale, surgelée";"Pizza, cheese and mushrooms, frozen";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25530";"Sandwich baguette, crudités diverses, mayonnaise";"Sandwich baguette, crudités diverses, mayonnaise";"Sandwich baguette, crudités diverses, mayonnaise";"Sandwich on french bread, vegetables and mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25531";"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise";"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise";"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise";"Sandwich on french bread, turkey, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25532";"Sandwich baguette, œuf, crudités (tomate, salade), mayonnaise";"Sandwich baguette, œuf, crudités (tomate, salade), mayonnaise";"Sandwich baguette, œuf, crudités (tomate, salade), mayonnaise";"Sandwich on french bread, egg, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25533";"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise";"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise";"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise";"Sandwich on french bread, pork, lettuce & tomato, mayonnaise";"Sandwichs";"Sandwichs"
"VALUES";"PF25535";"Sandwich baguette, merguez, ketchup moutarde";"Sandwich baguette, merguez, ketchup moutarde";"Sandwich baguette, merguez, ketchup moutarde";"Sandwich on french bread, sausage, ketchup & mustard";"Sandwichs";"Sandwichs"
"VALUES";"PF25536";"Sandwich baguette, salami, beurre";"Sandwich baguette, salami, beurre";"Sandwich baguette, salami, beurre";"Sandwich on french bread, salami and butter";"Sandwichs";"Sandwichs"
"VALUES";"PF25537";"Carpaccio de saumon";"Carpaccio de saumon";"Carpaccio de saumon";"Salmon carpaccio";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25538";"Carpaccio de boeuf";"Carpaccio de boeuf";"Carpaccio de boeuf";"Beef carpaccio";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25539";"Brochette de poisson";"Brochette de poisson";"Brochette de poisson";"Kebab, fish";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25540";"Brochette de crevettes";"Brochette de crevettes";"Brochette de crevettes";"Kebab, shrimp";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25541";"Brochette d'agneau";"Brochette d'agneau";"Brochette d'agneau";"Kebab, lamb";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25542";"Croque-madame";"Croque-madame";"Croque-madame";"Grilled cheese, ham & egg sandwich";"Sandwichs";"Sandwichs"
"VALUES";"PF25543";"Sandwich baguette (aliment moyen)";"Sandwich baguette (aliment moyen)";"Sandwich baguette (aliment moyen)";"Sandwich on french bread (average)";"Sandwichs";"Sandwichs"
"VALUES";"PF25544";"Sandwich pain de mie, garnitures diverses (aliment moyen)";"Sandwich pain de mie, garnitures diverses (aliment moyen)";"Sandwich pain de mie, garnitures diverses (aliment moyen)";"Sandwich on loaf bread (average)";"Sandwichs";"Sandwichs"
"VALUES";"PF25545";"Fromage pané";"Fromage pané";"Fromage pané";"Cheese, breaded";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25546";"Fromage pané au jambon";"Fromage pané au jambon";"Fromage pané au jambon";"Cheese and ham, breaded";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25548";"Pizza jambon fromage champignons ou Pizza royale";"Pizza jambon fromage champignons ou Pizza royale";"Pizza jambon fromage champignons ou Pizza royale";"Pizza, cheese and mushrooms";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25549";"Crêpe fourrée béchamel fromage";"Crêpe fourrée béchamel fromage";"Crêpe fourrée béchamel fromage";"Crepe, stuffed with cheese";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25550";"Flammenkueche ou Tarte flambée aux lardons";"Flammenkueche ou Tarte flambée aux lardons";"Flammenkueche ou Tarte flambée aux lardons";"Flammenkueche (Alsacian ''pizza'' with bacon & cream)";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25551";"Beignet de viande, volaille ou poisson, fait maison";"Beignet de viande, volaille ou poisson, fait maison";"Beignet de viande, volaille ou poisson, fait maison";"Meat, poultry or fish fritters, home made";"Plats composés";"Plats composés"
"VALUES";"PF25552";"Crêpe fourrée béchamel jambon fromage champignon";"Crêpe fourrée béchamel jambon fromage champignon";"Crêpe fourrée béchamel jambon fromage champignon";"Crepe, stuffed with ham, cheese and mushrooms";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25553";"Tourte aux poireaux";"Tourte aux poireaux";"Tourte aux poireaux";"Leek pie";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25554";"Tarte provençale à la tomate";"Tarte provençale à la tomate";"Tarte provençale à la tomate";"Tomato pie";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25555";"Tarte saumon et oseille";"Tarte saumon et oseille";"Tarte saumon et oseille";"Salmon and sorrel quiche";"Plats composés";"Pizzas, crêpes et tartes salées"
"VALUES";"PF25556";"Beignet de légumes, fait maison (aliment moyen)";"Beignet de légumes, fait maison (aliment moyen)";"Beignet de légumes, fait maison (aliment moyen)";"Vegetable fritter, home made (average)";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF31100";"Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux";"Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux";"Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux";"Breakfast bar, enriched in vitamins and minerals";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31101";"Barre céréalière "ligne" aux fruits, enrichie en vitamines et minéraux";"Barre céréalière "ligne" aux fruits, enrichie en vitamines et minéraux";"Barre céréalière ''ligne'' aux fruits, enrichie en vitamines et minéraux";"Cereal bar with fruit, enriched in vitamins and minerals";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31102";"Barre céréalière "ligne" au chocolat, enrichie en vitamines et minéraux";"Barre céréalière "ligne" au chocolat, enrichie en vitamines et minéraux";"Barre céréalière ''ligne'' au chocolat, enrichie en vitamines et minéraux";"Cereal bar with chocolate, enriched in vitamins and minerals";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31104";"Barre céréalière diététique hypocalorique";"Barre céréalière diététique hypocalorique";"Barre céréalière diététique hypocalorique";"Cereal bar, low calorie";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31106";"Barre céréalière chocolatée";"Barre céréalière chocolatée";"Barre céréalière chocolatée";"Cereal bar, chocolate";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31113";"Barre céréalière aux fruits";"Barre céréalière aux fruits";"Barre céréalière aux fruits";"Cereal bar with fruit";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF31114";"Barre céréalière aux amandes ou noisettes";"Barre céréalière aux amandes ou noisettes";"Barre céréalière aux amandes ou noisettes";"Cereal bar with nuts";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32000";"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux";"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux";"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux";"Breakfast cereals, puffed wheat, honey or caramel, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32001";"Céréales pour petit déjeuner chocolatées sucrées, non fourrées, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner chocolatées sucrées, non fourrées, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner chocolatées sucrées, non fourrées, enrichies en vitamines et minéraux";"Breakfast cereals, chocolate, without filling, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32002";"Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux";"Breakfast cereals, rich in fibre, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32003";"Céréales pour petit déjeuner sucrées (aliment moyen)";"Céréales pour petit déjeuner sucrées (aliment moyen)";"Céréales pour petit déjeuner sucrées (aliment moyen)";"Breakfast cereals, sweet (average)";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32004";"Muesli (aliment moyen)";"Muesli (aliment moyen)";"Muesli (aliment moyen)";"Muesli (average)";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32005";"Pétales de maïs natures, enrichis en vitamines et minéraux";"Pétales de maïs natures, enrichis en vitamines et minéraux";"Pétales de maïs natures, enrichis en vitamines et minéraux";"Breakfast cereals, corn flakes, plain, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32006";"Riz soufflé nature, enrichi en vitamines et minéraux";"Riz soufflé nature, enrichi en vitamines et minéraux";"Riz soufflé nature, enrichi en vitamines et minéraux";"Breakfast cereals, puffed rice, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32009";"Pétales de blé chocolatés, enrichis en vitamines et minéraux";"Pétales de blé chocolatés, enrichis en vitamines et minéraux";"Pétales de blé chocolatés, enrichis en vitamines et minéraux";"Breakfast cereals, wheat flakes, chocolate, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32016";"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux";"Breakfast cereals, chocolate filling, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32018";"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux";"Breakfast cereals, with filling (no chocolate), enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32021";"Céréales pour petit déjeuner "ligne" nature, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner "ligne" nature, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner ''ligne'' nature, enrichies en vitamines et minéraux";"Breakfast cereals, diet, plain, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF32022";"Céréales pour petit déjeuner "ligne" au chocolat, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner "ligne" au chocolat, enrichies en vitamines et minéraux";"Céréales pour petit déjeuner ''ligne'' au chocolat, enrichies en vitamines et minéraux";"Breakfast cereals, diet, with chocolat, enriched";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
