COLUMNS;cm:name;id;bcpg:supplier;bcpg:productState;Water;Total nitrogen;Protein;Total lipid (fat);Carbohydrate, by difference;Energy kcal;Energy kJ;Starch;Oligosaccharide;Sugars, total;Glucose;Galactose;Fructose;Sucrose;Maltose;Lactose;Alcohol (ethanol);NSP Fiber;Fiber, total dietary;Fatty acids, total saturated;Total omega 6 fatty acids;Total omega 3 fatty acids;Fatty acids, total monounsaturated;Fatty acids, total polyunsaturated;Total trans fatty acids;Cholesterol;Sodium, Na;Potassium, K;Calcium, Ca;Magnesium, Mg;Phosphorus, P;Iron, Fe;Copper;Zinc, Zn;Chloride;Manganese;Selenium;Iodine;Retinol;Beta-carotene;Vitamin A retinol equivalents;Vitamin D;Vitamin E;Vitamin K (phylloquinone);Thiamin;Riboflavin;Niacin;Tryptophan/60;Niacine (derived equivalents);Vitamin B-6;Vitamin B-12;Food Folate;Panto acid;Vitamin B7 (Biotin);Vitamin C, total ascorbic acid
VALUES; Curry, œuf, sauce sucrée, type UK, maison;15-752;CoFID Table;ToValidate;78.8;1.02;6.3;7.3;5.9;112;469;1.9;;3.4;1.3;;1.5;0.5;0;0;;0.8;;1.9;0;0;2.96;1.35;;144;67;155;38;13;96;1.7;0.07;0.6;96;0.14;11;22;48;25;52;1.3;1.34;;0.07;0.2;0.2;1.6;1.8;0.07;0.8;15;0.54;7;1
VALUES; Curry, œuf, beurre, maison;15-753;CoFID Table;ToValidate;76.3;0.86;5.4;10.6;4.7;135;561;0.3;;3.4;1.3;;1.1;0.9;0;0;;0.8;1.4;5.56;0;0;3.05;0.8;0.26;131.9;130;190;39;14;85;1.18;0.07;0.6;210;0.12;8;23;124;218;160;1.1;1.08;;0.09;0.17;0.4;1.4;1.8;0.14;0.7;14;0.5;5.8;2
VALUES; Curry, œuf, à l'huile de colza, maison;15-754;CoFID Table;ToValidate;75;0.85;5.3;12.2;4.7;149;619;0.3;;3.3;1.3;;1.1;0.9;0;0;;0.8;1.4;1.46;0;0;6.51;3.18;;112.7;65;188;38;14;83;1.19;0.07;0.6;110;0.12;8;23;38;163;65;1;2.91;;0.09;0.17;0.4;1.4;1.8;0.14;0.6;14;0.49;5.8;2
VALUES; Curry, poisson et légumes, bangladais, maison;16-462;CoFID Table;ToValidate;76.9;1.46;9.1;8.7;1.4;118;490;0.1;;1.1;0.4;;0.4;0.3;0;0;;0.5;;;0;0;;;;;;234;;;153;1.07;0.07;;;;;;;188;;;;;;;2.1;1.7;3.8;;2.7;;;;3
VALUES; Curry, poisson, bangladais, maison;16-446;CoFID Table;ToValidate;71.5;1.98;12.4;8;1.5;125;520;;0.3;1.2;0.4;;0.4;0.4;0;0;0;0.2;0.8;0.78;0;0;1.38;4.05;;;;257;;;261;1.14;0.09;;;;;;;78;13;;;;;;0.7;;;;3.8;;;;
VALUES; Curry, poisson, maison;16-364;CoFID Table;ToValidate;73.5;1.81;11.3;9.6;1.9;139;578;;;1.9;0.5;0.3;0.7;0.4;0;0;0;1.5;2.1;1.72;0;0;3.52;3.8;;13.8;430;323;45;27;112;1.05;0.08;0.4;662;;15;;;112;19;1.4;3.24;;;0.04;1.7;;;;1.3;9;0.12;6.8;
VALUES; Curry, haricots verts, masala, maison;15-755;CoFID Table;ToValidate;78;0.28;1.7;12.5;4.4;130;539;1.8;;2.6;0.6;;0.9;1.1;0;0;;2.9;3.1;0.87;0;0;7.3;3.73;;0;14;263;52;24;40;1.4;0.07;0.3;64;0.31;1;;0;207;35;0;2.94;;0.07;0.06;0.6;0.3;0.9;0.05;0;41;;;6
VALUES; Curry, aiglefin, bengali, maison;16-455;CoFID Table;ToValidate;60.2;1.82;11.4;22;4.2;263;1088;0.1;;3.2;1.2;;1;0.8;0;0.1;;0.8;1.1;13.78;0;0;5.56;0.85;0.76;85.2;240;323;28;22;120;0.44;0.04;0.3;404;0.07;20;201;253;320;306;0.2;1.03;;0.11;0.12;2.9;2.3;5.2;0.32;1.2;11;0.23;1.7;4
VALUES;Curry, hareng, bengali, maison;16-456;CoFID Table;ToValidate;52.1;1.82;11.4;29.6;4.2;327;1352;0.1;;3.2;1.2;;1;0.8;0;0.1;0;0.8;1.1;15.89;0;0;9.06;2.07;0.76;85.8;271;326;57;26;160;1.08;0.11;0.7;439;0.09;21;29;278;320;306;11.5;1.19;;0.05;0.19;2.5;2.1;4.6;0.35;7.8;11;0.49;4.4;4
VALUES; Curry, karela, maison;15-756;CoFID Table;ToValidate;80.3;0.26;1.6;9.7;4.6;111;460;0.5;;3.3;1.3;;1.1;0.9;0;0;0;2.4;1.2;1.38;0;0;2.85;4.93;;0;2;327;27;26;46;1.11;0.2;0.3;57;0.27;;;0;315;53;0;;;0.09;0.03;0.4;0.3;0.7;;0;20;;;64
VALUES; Curry, biryani d'agneau, maison;19-591;CoFID Table;ToValidate;61.9;1.15;7.1;9.2;20.9;195;817;18.3;;2;0.6;;0.5;0.2;0;0.3;;0.6;;1.79;0;0;4.73;2.01;0.21;16.5;21;169;33;16;83;1.12;;1.1;53;0.45;5;9;4;43;11;0.1;1.55;8.98;0.07;0.05;1.1;1.2;2.3;0.15;0.3;6;0.23;1.1;2
VALUES; Curry, biryani d'agneau, allégé en gras, maison;19-592;CoFID Table;ToValidate;66.3;1.2;7.4;3.7;21.9;150;634;19.2;;2;0.6;;0.5;0.2;0;0.3;;0.6;;1.28;0;0;1.36;0.38;0.21;16.6;20;174;32;17;85;1.17;0.14;1.2;59;0.47;5;7;3;43;10;0.1;0.32;;0.08;0.05;1.1;1.2;3.3;0.15;0.4;7;0.21;1.2;2
VALUES; Curry, agneau Rogan Josh, maison;19-595;CoFID Table;ToValidate;68.1;2.31;14.4;9.1;3.9;149;624;0.3;;3;1.2;;1.1;0.6;0;0;0;0.8;1.8;3.58;0;0;3.78;0.93;0.58;45.6;44;353;43;24;120;1.93;0.11;2;91;0.16;1;5;6;575;102;0.2;1.05;;0.13;0.11;2.4;2;4.4;0.2;0.9;6;0.29;1.3;3
VALUES; Curry, vindaloo d'agneau, maison;19-599;CoFID Table;ToValidate;59.4;3.17;19.8;12.9;2.7;199;833;0.4;;1.8;1.4;;0.3;1;0;0;;0.3;0.9;5.06;0;0;5.45;1.16;0.83;64.6;59;343;55;30;160;2.75;0.11;2.8;74;0.31;2;4;8;92;24;0.3;0.55;;0.1;0.12;2.8;3.4;6.2;0.19;1.3;3;0.28;;2
VALUES; Curry, agneau, fait avec sauce cuite;19-535;CoFID Table;ToValidate;60.3;2.48;15.5;17.7;5.5;242;1008;1.6;0;3.9;1.2;;1.4;1.3;0;;0;0.9;1.5;7.13;0;0;6.54;2.61;1.21;63;231;392;24;26;155;1.58;0.11;3.2;373;0.19;2;6;6;236;45;0.3;2.33;;0.11;0.12;3;2.9;0.6;0.18;1.3;7;0.74;3.4;2
VALUES; Curry, lentilles, dahl rouge/masoor et dahl de haricots mungo, maison;15-757;CoFID Table;ToValidate;75.7;0.76;4.8;6.7;10.1;116;487;8.3;;0.9;0.2;;0.2;0.5;0;0;;;;0.48;0;0;3.82;1.99;;0;18;212;16;23;70;1.6;0.12;0.6;31;;2;;0;67;11;0;;;0.07;0.04;0.4;0.7;1.1;0.09;0;8;0.24;;
VALUES; Curry, lentilles, dahl rouge/masoor et tomate, Punjabi, maison;15-758;CoFID Table;ToValidate;79.9;0.51;3.2;5.5;8.5;93;391;5.7;;2.4;0.9;;1;0.5;0;0;;1.3;;2.41;0;0;2.11;0.65;;0;18;237;19;17;55;1.47;0.1;0.5;78;;1;;0;242;40;0;;;0.08;0.02;0.6;0.4;1;0.13;0;18;0.21;;7
VALUES; Curry, lentilles, dahl rouge/masoor et tomate, au beurre, maison;15-759;CoFID Table;ToValidate;77.8;0.69;4.3;5.3;10.6;104;435;8.7;;1.1;0.3;;0.3;0.6;0;0;;1;;3.18;0;0;1.32;0.29;0.17;12.8;57;164;16;17;62;1.63;0.11;0.6;96;;1;;58;95;74;0.1;;;0.08;0.04;0.4;0.6;1;0.1;;4;0.25;;1
VALUES; Curry, lentilles, dahl rouge/masoor et tomate, à l'huile végétale, maison;15-760;CoFID Table;ToValidate;76.9;0.68;4.3;6.3;10.6;113;473;8.7;;1.1;0.3;;0.3;0.6;0;0;;1;;0.45;0;0;3.63;1.88;;0;13;162;15;17;61;1.64;0.11;0.6;29;;1;;0;59;10;0;;;0.08;0.03;0.4;0.6;1;0.1;0;4;0.2;;1
VALUES; Curry, lentilles, dahl rouge/masoor et légumes, type UK, maison;15-761;CoFID Table;ToValidate;72.5;0.91;5.7;3.8;14.8;112;470;11.4;;2.4;0.7;;0.8;0.9;0;0;;1.8;;0.3;0;0;2.07;1.14;;0;12;256;24;25;84;2.26;0.15;0.8;44;;1;;0;870;145;0;;;0.11;0.04;0.5;0.8;1.3;0.19;0;9;0.31;;12
VALUES; Curry, lentilles, dahl rouge/masoor, dahl de haricot mungo et tomate, maison;15-125;CoFID Table;ToValidate;78.9;0.71;4.4;4.3;9.7;92;387;8.5;0.4;0.8;0.2;0;0.2;0.3;0;0;;1.6;;0.5;0;0;1.5;2;;0;;170;8;15;51;1.1;0.11;0.5;;;2;;0;54;9;0;1.05;;0.07;0.03;0.3;0.7;1;0.07;0;11;0.22;;1
VALUES; Curry, lentilles, dahl rouge/masoor, Punjabi, maison;15-762;CoFID Table;ToValidate;65.2;1.14;7.2;4.6;19.3;141;591;13.7;;3.9;1.2;;1;1.7;0;0;0;2;;0.35;0;0;2.46;1.43;;0;55;285;33;28;102;2.42;0.19;1;110;;2;;0;216;36;0;;;0.16;0.06;0.7;1;1.7;0.19;0;8;0.32;;1
VALUES; Curry, lentilles, dahl rouge/masoor, au beurre, maison;15-763;CoFID Table;ToValidate;62.8;1.22;7.6;6.6;19.3;161;678;15.6;;2.2;0.6;;0.5;1.1;0;0;;1.9;;3.93;0;0;1.62;0.41;0.21;15.8;74;283;26;30;108;2.59;0.2;1;128;;2;;71;101;88;0.1;;;0.14;0.06;0.6;1.1;1.7;0.23;;7;0.36;;1
VALUES;Curry, lentilles, dahl rouge/masoor, à l'huile végétale, maison;15-764;CoFID Table;ToValidate;61.7;1.21;7.6;7.9;19.2;173;725;15.6;;2.2;0.6;;0.5;1.1;0;0;;1.9;;0.57;0;0;4.46;2.37;;0;20;281;25;30;106;2.6;0.2;1;45;;2;;0;56;9;0;;;0.14;0.06;0.6;1.1;1.7;0.19;0;7;0.34;;1
VALUES; Curry, lentilles, entier/masoor, Gujerati, maison;15-765;CoFID Table;ToValidate;67.8;1.04;6.5;5.3;17;137;578;12.7;;3.1;0.7;;0.7;1.7;0;0;;1.6;;3.63;0;0;1.31;0.32;0.17;12.8;56;290;24;27;94;2.26;0.19;0.9;108;;2;;57;151;83;0.1;;;0.17;0.06;0.7;0.9;1.6;0.15;;8;0.34;;3
VALUES; Curry, lentilles, entier/masoor, Punjabi, maison;15-766;CoFID Table;ToValidate;69.4;0.9;5.7;8.3;13.9;148;620;11.3;;1.4;0.3;;0.3;0.7;0;0;;1.3;;0.58;0;0;4.71;2.45;;0;26;223;25;25;81;2.34;0.16;0.8;47;;1;;0;111;18;0;;;0.12;0.05;0.5;0.8;1.3;0.13;0;5;0.26;;1
VALUES; Curry, dahl de haricots mungo et épinards, maison;15-767;CoFID Table;ToValidate;68.9;1.25;7.8;2.9;12.3;102;429;8.5;;3;0.4;;0.5;2.1;0;0;;;;0.3;0;0;1.26;1.15;;0;153;684;144;71;120;3.14;0.16;1.1;142;0.71;4;;0;2932;189;0;;;0.11;0.11;1.2;1.4;2.6;0.17;0;59;0.47;;11
VALUES; Curry, dahl de haricot mungo et tomate, maison;15-132;CoFID Table;ToValidate;74.8;0.9;5.6;3.6;11.2;95;403;9.8;0.6;0.8;0.3;0;0.3;0.3;0;0;;2.6;;0.4;0;0;1.1;1.7;;0;;230;9;20;53;1;0.13;0.5;;0.2;3;;0;170;28;0;0.89;;0.08;0.05;0.5;0.9;1.4;0.07;0;25;0.31;;1
VALUES; Curry, dahl de haricots mungo, bengali, maison;15-768;CoFID Table;ToValidate;82.3;0.67;4.2;3.4;7.4;74;311;6.2;;0.5;0.1;;0.1;0.2;0;0;;;;2.03;0;0;0.82;0.21;0.11;8.1;43;208;9;21;63;0.98;0.09;0.4;62;0.17;2;;36;102;54;0;;;0.05;0.04;0.3;0.6;0.9;0.05;;11;0.25;;0
VALUES; Curry, haricot mungo, feuilles entières et navet, maison;15-769;CoFID Table;ToValidate;68.8;0.71;4.4;14.4;6.2;169;700;5;;0.3;0.1;;0;0.1;0;0;;;;7.49;0;0;4.61;1.15;0.21;15.3;99;201;73;28;64;3.01;0.15;0.6;150;;;;69;3290;617;0.1;;;0.07;0.15;0.7;0.8;1.5;0.17;;70;0.26;;20
VALUES; Curry, haricot mungo, entier, Gujerati, maison;15-771;CoFID Table;ToValidate;69.5;0.96;6;5.9;13.2;126;528;9.5;;2.5;0.7;;0.7;1.1;0;0;;2.7;;0.45;0;0;3.35;1.77;;0;6;392;30;41;95;1.75;0.15;0.7;26;0.23;4;;0;98;16;0;;;0.13;0.06;0.6;1;1.6;0.1;0;19;0.41;;3
VALUES; Curry, haricot mungo, entier, punjabi, maison;15-490;CoFID Table;ToValidate;80.1;0.67;4.2;2.8;8.8;74;312;6.9;;1;0.3;0;0.3;0.3;0;0;;1.9;;1.64;0;0;0.66;0.19;0.09;6.5;231;251;20;27;67;1.17;0.09;0.5;356;0.16;3;;29;110;47;0;0.18;;0.06;0.04;0.4;0.7;1.1;0.07;;13;0.28;;1
VALUES; Curry, petits pois et pomme de terre, maison;15-776;CoFID Table;ToValidate;73.4;0.39;2.5;11;10.2;147;611;6.2;;2.7;0.6;;0.5;1.5;0;0;;2.3;2.8;0.8;0;0;6.35;3.31;;0;26;235;19;16;43;0.99;0.05;0.3;;0.16;;;0;321;54;0;2.55;;0.1;0.03;0.6;0.5;1.1;0.15;0;12;0.13;0.3;4
VALUES; Curry, dahl de pois d'Angole et tomate, maison;15-777;CoFID Table;ToValidate;86.9;0.38;2.3;2.2;7.3;56;237;5.6;;1.5;0.1;;0.1;1.3;0;0;;1.1;;0.18;0;0;1.21;0.69;;0;10;168;6;11;36;0.42;0.1;0.3;15;0.09;;;0;54;9;0;;;0.07;0.01;0.3;0.2;0.5;;0;6;;;1
VALUES; Curry, dahl de pois d'Angole, tomates et cacahuètes, maison;15-778;CoFID Table;ToValidate;69.9;1.13;6.9;3.3;16.9;121;510;15.2;;1;0.2;;0.2;0.6;0;0;;3;;0.48;0;0;1.46;1.04;;0;11;439;16;33;103;1.06;0.3;0.8;11;0.3;;;0;49;8;0;;;0.23;0.03;1;0.7;1.7;;0;19;;;2
VALUES; Curry, dahl aux pois d'Angole, au beurre, maison;15-779;CoFID Table;ToValidate;74.9;0.74;4.6;4.7;13.5;108;455;10.9;;2.1;0.1;;0.1;1.8;0;0;;2.1;;2.66;0;0;1.19;0.38;0.14;10.5;58;304;17;21;70;0.98;0.2;0.5;79;0.17;;;47;98;64;0;;;0.15;0.03;0.5;0.4;0.9;;;10;;;
VALUES; Curry, dahl de pois d'Angole, à l'huile végétale, maison;15-780;CoFID Table;ToValidate;74.2;0.73;4.6;5.5;13.5;116;487;10.9;;2.1;0.1;;0.1;1.8;0;0;;2.1;;0.42;0;0;3.08;1.68;;0;22;303;17;21;69;0.98;0.2;0.5;24;0.17;;;0;68;11;0;;;0.15;0.03;0.5;0.4;0.9;;0;10;;;
VALUES; Curry, pomme de terre et petit pois, maison;15-781;CoFID Table;ToValidate;76.2;0.44;2.7;3.7;13;92;387;7.6;;3.7;1;;0.9;1.7;0;0;;2.4;3.1;0.28;0;0;1.97;1.13;;0;30;294;32;21;51;1.25;0.09;0.4;96;0.24;;4;0;251;42;0;0.9;;0.25;0.03;0.9;0.6;1.5;0.26;0;16;0.24;0.7;7
VALUES; Curry, pomme de terre, Gujerati, maison;15-782;CoFID Table;ToValidate;78.6;0.23;1.5;5.4;11.8;94;394;9.7;;2.1;0.3;;0.2;1.6;0;0;;0.8;1.4;0.38;0;0;3.12;1.55;;0;22;225;16;15;28;0.91;0.07;0.3;80;0.11;;3;0;156;26;0;1.27;;0.14;0.01;0.5;0.3;0.8;0.21;0;12;0.24;0.3;7
VALUES;Curry, pomme de terre, Punjabi, maison;15-783;CoFID Table;ToValidate;76.9;0.29;1.8;4;13.8;94;396;11;;2.4;0.9;;0.8;0.6;0;0;;1.2;2;2.45;0;0;1.02;0.2;0.13;9.8;49;374;17;20;37;0.95;0.1;0.3;144;0.28;;5;44;186;75;0;0.45;;0.21;0.02;0.6;0.4;1;0.26;0;15;0.33;0.7;10
VALUES; Curry, crevettes et champignons, maison;16-457;CoFID Table;ToValidate;72.4;1.04;5.7;14.3;2.7;164;677;0.6;;1.7;0.7;;0.6;0.5;0;0;;1;1.1;1.01;0;0;8.28;4.24;;38;73;337;26;20;105;0.91;0.46;0.7;171;0.13;17;9;;111;18;;3.73;;0.1;0.14;1.3;1.3;2.6;0.14;0.3;16;0.92;5.6;3
VALUES; Curry, bhuna aux crevettes, à emporter;16-365;CoFID Table;ToValidate;75.6;1.38;8.6;8.7;1.8;120;497;0.6;0;1.2;0.5;;0.7;;;;0;1.9;2.5;1.4;2230;670;3.97;2.95;0.02;158;321;207;98;27;96;4.39;0.14;0.8;440;0.33;14;34;6;290;55;;2.71;;0.23;0.45;0.5;1.2;1.6;0.08;0.4;4;0.3;1.8;2
VALUES; Curry, Madras de crevettes, à emporter;16-366;CoFID Table;ToValidate;77.3;1.24;7.8;8.3;2.5;115;479;1.3;0;1.2;0.5;;0.4;0.1;0.1;0.1;0;2;2.4;1.4;2270;680;3.87;2.85;0.03;130.2;301;188;96;26;95;4.07;0.1;0.8;;0.3;;;8;269;53;;3.6;;0.02;;0.6;;;0.08;;;;;
VALUES; Curry, crevettes, plats à emporter;16-333;CoFID Table;ToValidate;76.4;1.31;8.2;8.5;2.3;118;491;0.9;0;1.4;0.5;;0.6;0.1;0.1;0.1;0;2;2.5;1.4;0;0;3.83;2.9;;144.1;311;198;97;26;95;4.23;0.12;0.8;440;0.31;14;34;7;279;54;;3.16;;0.02;0.05;0.6;1.2;1.8;0.08;0.4;4;0.3;1.8;2
VALUES; Curry, rognon rouge et haricot mungo, entiers, maison;15-784;CoFID Table;ToValidate;73.1;0.62;3.9;12.1;7.6;153;636;6.6;;0.4;;;;0.3;0;;;2.1;;3.04;0;0;5.75;2.59;0.14;10.1;37;220;17;25;65;1.05;0.1;0.5;5;0.17;3;;46;32;51;;;;0.07;0.03;0.3;0.6;0.9;0.05;;11;0.18;;
VALUES; Curry, haricot rouge, Gujerati, maison;15-785;CoFID Table;ToValidate;75.7;0.64;4;6.1;9.7;107;446;6.4;;2.3;0.3;;0.3;1.7;0;0;;2.8;;0.43;0;0;3.45;1.84;;0;4;280;24;29;77;1.45;0.13;0.6;11;0.45;3;;0;26;4;0;1.42;;0.1;0.03;0.4;0.6;1;0.08;0;12;0.13;;3
VALUES; Curry, haricot rouge, Punjabi, maison;15-146;CoFID Table;ToValidate;74.8;0.75;4.7;5.6;10.1;106;448;7.8;1.1;1.2;0.3;0;0.3;0.5;0;0;;3.8;;0.6;0;0;1.9;2.7;;0;;270;22;25;74;1.4;0.13;0.6;;0.3;3;;0;76;25;0;1.54;;0.11;0.03;0.4;0.7;1.1;0.09;0;23;0.15;;2
VALUES; Curry, épinards et pomme de terre, masala, maison;15-787;CoFID Table;ToValidate;77.7;0.36;2.2;8.2;7.4;110;456;2.3;;4.9;2.1;;1.8;1;0;0;;1.7;;0.57;0;0;4.7;2.53;;0;35;332;61;21;39;1.05;0.1;0.3;118;0.18;;5;0;1983;331;0;2.98;;0.13;0.04;0.9;0.5;1.4;0.14;0;20;0.21;1;6
VALUES; Curry, thaï, sauté de légumes, plats à emporter et restaurant;15-634;CoFID Table;ToValidate;77.9;0.61;3.8;8.2;3.3;101;421;1.7;0;1.6;0.8;;0.8;;;;;2.6;3.1;3.97;1250;300;2.3;1.57;0.01;19.5;570;207;28;21;54;1.66;0.1;0.4;690;0.43;4;15;3;514;89;0;1.48;;0.02;;0.7;0.7;1.4;0.09;0;3;0.38;2.4;3
VALUES; Curry, courge tinda et pomme de terre, maison;15-788;CoFID Table;ToValidate;83.2;0.25;1.6;3.9;8.5;74;309;4.7;;3.5;;;;;0;0;;;;0.56;0;0;1.13;1.96;;0;43;232;23;17;33;0.71;0.09;;109;;;;0;206;34;0;;;0.08;0.04;0.4;0.3;0.7;;0;;;;9
VALUES; Curry, légumes, mélange de légumes surgelés, maison;15-789;CoFID Table;ToValidate;80.6;0.41;2.5;6.1;7.2;90;374;3.8;;2.9;0.6;;0.5;1.8;0;0;;;;0.4;0;0;3.39;1.7;;0;25;191;32;17;47;1.05;0.05;0.3;59;0.2;;2;0;1495;249;0;;;0.11;0.06;0.6;0.4;1;0.13;0;31;;;9
VALUES; Curry, légumes, en sauce sucrée, type UK, maison;15-790;CoFID Table;ToValidate;87.1;0.21;1.3;2.1;7.3;51;216;2.9;;3.9;1.5;;1.6;0.8;0;0;;1.3;;0.51;0;0;0.86;0.51;;0;9;208;20;13;26;0.83;0.06;0.2;57;0.1;;;0;1326;221;0;;;0.1;0.02;0.5;0.2;0.7;0.08;0;15;0.18;;9
VALUES; Curry, légumes, Islami, maison;15-791;CoFID Table;ToValidate;80.1;0.36;2.2;4.6;8.4;81;337;3.8;;4;1.8;;1.7;0.5;0;0;;1.8;;0.31;0;0;2.31;1.2;;0;27;377;31;22;42;1.21;0.09;0.3;111;0.19;1;3;0;212;36;0;1.56;;0.15;0.04;0.7;0.5;1.2;0.21;0;20;0.3;;12
VALUES; Curry, légumes, pakistanais, maison;15-792;CoFID Table;ToValidate;81.2;0.37;2.3;2.6;9.2;64;267;4.8;;3.9;1.3;;1.2;1.3;0;0;;2.2;;0.9;0;0;0.73;0.78;;0;23;338;36;25;52;1.47;0.08;0.4;92;0.31;1;;0;2479;413;0;0.57;;0.2;0.03;0.7;0.4;1.1;0.15;0;13;0.2;0.6;8
VALUES; Curry, légume, plat cuisiné, sans riz, cuit;15-619;CoFID Table;ToValidate;79.8;0.33;2.1;6;8.4;94;392;5;;3.4;0.9;;0.9;1.1;;0.6;;1.5;1.8;1.89;1190;320;2.26;1.52;0.15;3.6;200;259;41;19;47;0.83;0.12;0.3;330;0.26;2;3;15;580;112;;1.97;;0.06;0.05;0.8;0.2;1;0.08;;56;0.36;2.5;
VALUES; Curry, légumes, au détail, avec du riz;15-892;CoFID Table;ToValidate;70.5;0.5;3;4.1;20.2;125;526;18.3;;1.9;0.5;;0.5;0.6;;0.3;;0.8;1.5;1.16;1030;180;1.39;1.22;0.09;1.9;177;163;30;14;52;0.51;0.12;0.3;284;0.22;4;2;8;313;60;;1.23;;0.07;0.03;1.5;0.7;2.2;0.08;;33;0.42;1.9;
VALUES;Curry, légumes, antillais, maison;15-793;CoFID Table;ToValidate;83.8;0.37;2.4;4;4.1;60;251;1.8;;2.1;0.8;;0.8;0.5;0;0;;3.1;;0.37;0;0;1.9;1.23;;0;54;399;118;49;45;1.97;0.08;0.6;62;;1;;0;1308;218;0;;;0.09;0.05;0.7;0.5;1.2;0.13;0;37;0.18;;9
VALUES; Curry, légumes, avec yaourt, type UK, maison;15-794;CoFID Table;ToValidate;86.2;0.35;2.2;4;4.7;64;266;0.3;;4;1.2;;1.1;0.8;0;0.5;;;;0.39;0;0;2.14;1.17;;0.2;15;276;44;17;51;0.84;0.04;0.3;88;0.13;1;;1;1807;302;;;;0.08;0.06;0.3;0.5;0.8;0.14;;19;0.27;;12
VALUES; Pomme à la crème/cœur de Bullock, chair uniquement;14-075;CoFID Table;ToValidate;75.8;0.24;1.5;0.4;16.1;70;298;1.2;;14.9;5.4;;5.6;3.9;0;0;;;;;0;0;;;;0;5;440;24;21;25;0.6;0.15;0.2;37;;;;0;29;5;0;;;0.09;0.08;0.5;0.1;0.6;0.22;0;;0.13;;21
VALUES; Poudre de crème pâtissière;11-1138;CoFID Table;ToValidate;12.5;0.09;0.6;0.7;92;354;1508;92;;;;;0;;0;0;0;0.1;;0.1;0;0;0.1;0.3;0;0;378;3;2;2;17;0.1;0.05;0.5;567;;;;0;0;0;0;;;0.02;;;0.1;0.1;;0;2;;;0
VALUES; Crème anglaise des confiseurs;12-572;CoFID Table;ToValidate;64.7;1.07;6.6;3.8;24.8;153;649;5.9;;19;;;;15.3;0;3.6;;0.2;0.3;1.52;0;0;1.22;0.39;0.06;95.7;74;173;114;14;129;0.63;0.04;0.7;125;0.06;7;37;47;7;48;0.8;0.4;;0.05;0.27;0.2;1.5;1.7;0.08;1.3;15;0.8;7.5;1
VALUES; Crème anglaise, oeuf;12-573;CoFID Table;ToValidate;79;0.94;5.9;3.4;10.9;95;402;0;;10.9;;;0;6.2;0;4.7;;0;0;1.57;0;0;1.07;0.28;0.07;74.3;73;186;130;13;130;0.37;0.02;0.7;123;0.01;5;40;43;9;45;0.6;0.28;;0.04;0.3;0.1;1.3;1.4;0.07;1.3;12;0.82;6.8;1
VALUES; Crème anglaise, composée de lait demi-écrémé;12-519;CoFID Table;ToValidate;77.4;0.63;4;2;16.4;95;403;5.1;;11.2;;;0;5.9;0;5.4;0;;;1.24;0;0;0.47;0.02;0.08;6.8;67;184;140;13;111;0.11;0.01;0.5;127;;1;35;21;10;23;;0.04;;0.03;0.25;0.2;0.7;0.9;0.06;0.9;8;0.71;3.4;1
VALUES; Crème anglaise, composée de lait écrémé;12-574;CoFID Table;ToValidate;78.9;0.64;4;0.3;16.5;81;345;5.1;;11.3;;;0;5.9;0;5.5;0;;;0.16;0;0;0.07;0.02;;4.2;69;190;145;13;113;0.12;0.01;0.6;127;;1;27;1;;1;;;;0.03;0.23;0.1;0.8;0.9;0.06;0.9;8;0.51;2.8;1
VALUES; Crème anglaise, composée de lait entier;12-575;CoFID Table;ToValidate;75.2;0.62;4;4.2;16.3;114;484;5.1;;11.1;;;0;5.9;0;5.2;0;;;2.64;0;0;1.11;0.12;0.15;13.8;67;185;140;13;113;0.11;0.01;0.6;129;;1;28;41;16;44;;0.06;;0.03;0.24;0.2;0.7;0.9;0.06;1;7;0.6;2.9;1
VALUES; Crème anglaise, prête à manger, en conserve et tetra-pak;12-543;CoFID Table;ToValidate;77.5;0.43;2.7;2.9;16.3;98;414;3.5;;12.8;;;;8.2;;4.6;0;;;1.89;50;10;0.83;0.06;0.07;2.1;41;129;91;9;83;0.05;;0.3;137;;1;26;36;376;99;;0.29;;0.12;0.19;0.1;0.3;0.4;0.01;0.2;2;0.43;1.3;0
VALUES; Seiche, crue;16-254;CoFID Table;ToValidate;80.8;2.58;16.1;0.7;0;71;300;0;;0;0;;0;0;0;0;;0;;0.2;0;0;0.1;0.2;;110;370;310;59;;270;3.4;0.59;1.2;;0.01;65;;0;0;0;;;;0.04;0.48;3.7;3.4;7.1;0.39;2;13;;;
VALUES; Tamponnez, cru;16-038;CoFID Table;ToValidate;79.1;2.51;15.7;1.2;0;74;311;0;;0;0;;0;0;0;0;;0;;;0;0;;;;;77;350;24;24;;0.3;0.01;0.5;;0.04;70;30;;;;;0.4;;0.1;0.08;2.3;2.9;5.2;0.19;2;5;0.86;1;
VALUES; Dahl, mixte, maison;13-484;CoFID Table;ToValidate;78.2;0.78;4.9;0.7;9.1;60;254;8.5;;0.5;;0;0.2;0.3;0;0;0;2.4;3.1;0.08;0;0;0.26;0.32;;3.2;237;234;21;28;72;0.72;0.16;0.6;365;;;;0;69;12;0;1.36;;0.09;0.07;0.3;;;;0;62;;;
